gene_id,gene,locus_tag,gene_title,GSM1080843,GSM1080844,GSM1080845,GSM1080849,GSM1080850,GSM1080851
1761828_s_at,1761828_s_at,,,0.8604138,1.092491,0.8990717,5.732682,7.250424,0.9416475
1761829_at,ycjS,c1787,oxidoreductase ycjS,1.324496,0.7391816,7.870463,18.56522,0.7631167,3.703974
1761830_at,c1481,c1481,hypothetical protein,0.4643483,3.713374,1.354647,2.496577,5.499979,2.385653
1761831_s_at,stpA,b2669,"DNA binding protein, nucleoid-associated",254.1524,377.4264,869.64,888.1324,689.4401,845.4413
1761832_s_at,ybiR,c0904,hypothetical protein,244.2784,549.3588,522.8535,553.1807,1559.904,1520.355
1761833_at,Z0959,Z0959,hypothetical protein,1.555853,0.7354085,1.143091,0.4902987,0.618166,24.03936
1761834_s_at,yccD,b0999,chaperone-modulator protein CbpM,1147.895,1050.705,1481.47,354.0579,396.945,339.153
1761835_s_at,1761835_s_at,,,57.83202,55.96078,73.59205,61.71192,102.9531,35.46995
1761836_s_at,frvR,Z5440,frv operon regulatory protein,10.52923,8.084691,9.336501,9.090148,8.637006,12.46564
1761837_s_at,Z2357,ECs1112,tail component of prophage CP-933R,22.26633,4.212616,2.637786,1.927216,4.136971,56.79803
1761838_s_at,ydaJ,b1338,aminohydrolase,48.97438,63.73565,79.08157,100.7155,88.85806,90.10106
1761839_s_at,yhjV,b3539,transport protein YhjV,97.1647,133.209,112.1377,83.83917,109.2254,195.9385
1761840_s_at,Z4191,Z4191,type III secretion apparatus protein,7.570711,1.629943,3.029885,1.395637,9.933434,44.57471
1761841_s_at,1761841_s_at,,,7.836238,4.522373,11.80304,8.604856,15.54839,14.49326
1761842_at,focC,c1241,F1C periplasmic chaperone,8.030682,0.9753268,16.95057,2.456834,8.552193,6.650964
1761843_s_at,ECs5458,b1573,hypothetical protein,21.43384,31.90654,43.58286,183.0146,296.6947,148.0725
1761844_s_at,dapD,b0166,"2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase",7368.715,6397.21,6236.605,4332.712,2138.91,2208.23
1761845_s_at,rbfA,b3167,ribosome-binding factor A,647.387,503.8336,577.9996,791.2243,640.6387,820.325
1761846_s_at,insP,Z5815,pseudo,17.97667,33.48194,36.11223,59.13219,42.11381,53.70234
1761847_s_at,lysA,b2838,diaminopimelate decarboxylase,1219.086,631.7751,479.0336,173.6976,155.497,221.8356
1761848_at,ECs5580,ECs5580,hypothetical protein,10.78854,13.54512,13.1342,12.37334,6.847513,1.609638
1761849_at,nuoM,c2818,NADH dehydrogenase subunit M,4.085627,0.8545558,14.49664,10.10751,20.774,8.248446
1761850_s_at,1761850_s_at,,,631.3196,771.4548,1215.587,251.2703,338.4005,275.827
1761851_s_at,ytfH,b4212,hypothetical protein,220.1018,252.3997,290.8746,815.919,1079.73,668.5564
1761852_s_at,1761852_s_at,,,2634.451,2727.295,2929.366,840.3672,728.9978,458.1311
1761853_s_at,lomU,Z2146,prophage protein,11.88315,8.44773,29.7123,5.430419,34.96905,32.18131
1761854_s_at,Z1634,Z1194,hypothetical protein,0.9411533,0.5559945,1.923696,12.51178,1.392888,25.50017
1761855_s_at,yabI,Z0074,hypothetical protein,11.22328,30.48358,20.17784,24.40841,25.67863,100.4753
1761856_s_at,rpsS,b3316,30S ribosomal protein S19,8322.643,6810.657,5528.876,18504.14,13628.27,23331.98
1761857_s_at,Z3342,Z3342,hypothetical protein,1.963716,12.73836,1.791563,20.19197,3.436145,4.451261
1761858_at,fhuF,c5446,ferric iron reductase involved in ferric hydroximate transport,13.60751,33.50359,24.64931,20.46555,3.995408,21.74559
1761859_s_at,1761859_s_at,,,55.8027,63.51337,57.51493,198.5653,332.0149,538.3989
1761860_s_at,yagR,b0284,hypothetical protein,11.37534,43.73351,32.24477,49.09435,21.94196,56.88197
1761861_s_at,Z0640,Z0640,hypothetical protein,1.132377,1.669176,0.6561326,1.211287,3.026821,4.970111
1761862_s_at,c1838,c1838,hypothetical protein,58.97906,88.85092,117.3223,81.11833,82.27772,71.98164
1761863_s_at,1761863_s_at,,,49.65857,41.20293,37.73813,290.6642,665.052,535.0247
1761864_s_at,Z3135,Z3135,invasin,3.090839,9.326785,7.241657,9.511165,3.113266,3.192048
1761865_s_at,ybaX,b0444,queuosine biosynthesis protein QueC,2588.15,2190.473,1969.567,1521.429,1450.601,1237.128
1761866_s_at,ybdB,b0597,hypothetical protein,2445.719,2513.58,4790.057,97.95654,93.44006,119.0949
1761867_s_at,c5389,b4311,hypothetical protein,17.83106,9.039955,16.90588,22.98452,48.24199,44.73685
1761868_s_at,c2796,b2254,undecaprenyl phosphate 4-deoxy-4-formamido-L-arabinose transferase,1007.448,1455.995,1087.721,18.7775,40.14071,43.05788
1761869_s_at,avtA,b3572,valine--pyruvate transaminase,2862.429,4100.301,3252.191,699.6409,560.9322,532.4758
1761870_s_at,1761870_s_at,,,33.51495,70.31069,109.9977,93.64914,190.8066,174.6121
1761871_at,Z2987,Z2987,tail fiber component of prophage CP-933T,1.677263,1.941234,1.356032,18.90927,3.682172,22.70738
1761872_s_at,rplL,b3986,50S ribosomal protein L7/L12,14194.03,11363.1,11984.18,21238.75,20482.53,29557.08
1761873_s_at,yciG,b1259,hypothetical protein,318.9259,282.968,197.5684,26.43799,39.89138,14.51555
1761874_at,c2483,c2483,hypothetical protein,35.91574,7.030101,16.51217,24.42988,33.22662,63.40326
1761875_s_at,yihX,b3885,phosphatase,2988.82,1805.09,2287.435,3529.821,2405.803,1884.871
1761876_at,insH1,b1370,IS5 transposase and trans-activator,194.0596,250.5274,219.1911,167.7459,268.0153,206.2651
1761877_at,ybhI,c0847,hypothetical protein,3.423042,1.873165,30.29001,7.183746,5.436216,22.71742
1761878_at,c1889,c1889,hypothetical protein,14.38707,2.850284,9.347374,0.6813643,7.046736,3.093964
1761879_s_at,c3526,c3526,hypothetical protein,0.2468664,8.481322,13.11973,0.4989781,10.77094,12.78429
1761880_s_at,yjjV,b4378,putative DNase,772.8851,563.1857,715.3549,578.425,677.7336,803.2883
1761881_s_at,htrE,Z0150,outer membrane usher protein,14.94429,8.331463,10.52407,4.909887,2.12833,38.0653
1761882_x_at,ECs2186,ECs1532,endolysin,23.38909,21.20658,22.73981,28.4413,49.43269,57.19777
1761883_s_at,1761883_s_at,,,11.96762,3.956519,12.96542,33.22615,25.39584,23.45568
1761884_s_at,Z1823,Z1823,hypothetical protein,12.82582,0.1543365,0.4838741,7.985303,0.1373187,2.14818
1761885_at,ycjT,c1788,transport protein YcjT,1.936154,2.041795,1.787093,2.393194,2.707517,5.662203
1761886_s_at,frlA,b3370,fructoselysine transporter,2.702148,0.7507697,6.675595,33.14145,5.274891,39.44712
1761887_at,c1267,c1267,hypothetical protein,3.881509,3.005745,1.558398,16.62705,13.6581,3.480132
1761888_s_at,c3669,c3669,hypothetical protein,1.727549,0.5599915,1.377024,0.9220797,1.272797,1.942842
1761889_s_at,1761889_s_at,,,21.27637,8.87919,12.72013,4.544199,30.23038,38.88245
1761890_s_at,1761890_s_at,,,8.214698,6.857099,11.97649,12.55027,2.265065,3.624436
1761891_at,fadE,b0221,acyl coenzyme A dehydrogenase,215.7168,185.5393,222.3868,324.1965,247.4863,410.9463
1761892_s_at,1761892_s_at,,,11.10803,1.937718,2.908057,8.568549,22.84692,10.05328
1761893_at,osmF,b2131,putative ABC transporter periplasmic binding protein,495.6974,318.8548,286.7694,48.37596,54.84197,65.81979
