antibiotic_class,treatment,comparison,regulation,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,signal_strength,padj_source,locus_tag,gene_title
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,1759513_s_at,1759513_s_at,91.57274666666666,1.3713604750232715,2.5871442126863347,0.015496373553177213,0.07605143328405432,1.5344050829283873,BH_from_pvalue,,
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,yhdH,1768029_s_at,1436.4384166666666,-1.443617413612012,0.36764431628063354,0.019328950874672686,0.08653944321432402,1.5342562369933619,BH_from_pvalue,b3253,hypothetical protein
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,rsmC,1768547_s_at,1283.6699999999998,1.3291590212611766,2.5125616944859317,0.013620610212505078,0.07015095310254886,1.5338048827910638,BH_from_pvalue,b4371,16S ribosomal RNA m2G1207 methyltransferase
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,1765328_s_at,1765328_s_at,17.673150983333333,2.539579397966351,5.814194756981639,0.10726966425515741,0.24920544668107575,1.5324900643837769,BH_from_pvalue,,
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,bglJ,1762452_s_at,152.12300833333333,1.7856518950880984,3.447742181096358,0.042561814432342665,0.13898624495372805,1.5303539909471116,BH_from_pvalue,b4366,DNA-binding transcriptional activator BglJ
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,hemD,1766836_s_at,1419.7537999999997,-1.2312085716578665,0.4259604616169641,0.009168079081549318,0.05717028177425501,1.5301825394660435,BH_from_pvalue,b3804,uroporphyrinogen-III synthase
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,Z2251,1762507_s_at,191.60884833333333,-2.46585232099089,0.18101079945987936,0.1008369668857634,0.23982846178235617,1.5290732439704056,BH_from_pvalue,Z2251,hypothetical protein
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,c5290,1760085_at,395.39286666666663,1.5748304074926924,2.9790047160064534,0.027873913164839465,0.10696876149875235,1.5287556454378655,BH_from_pvalue,c5290,hypothetical protein
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,purA,1759333_s_at,7071.076,-1.5497183343482774,0.3415767456720095,0.026020656910708918,0.10319303253477725,1.5285640975405945,BH_from_pvalue,b4177,adenylosuccinate synthetase
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,gapC,1762113_s_at,4113.1075,-1.5183619281892238,0.34908204809086885,0.024219215071172924,0.09873392469909473,1.5267639347296056,BH_from_pvalue,b1417,pseudo
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,Z3912,1763238_s_at,8720.391000000001,1.2893459092001738,2.4441721624481754,0.011953345858390899,0.06567263429626173,1.5248005379335317,BH_from_pvalue,b2619,hypothetical protein
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,mazG,1767682_s_at,360.5622333333333,-1.4957363152371865,0.3545998140386786,0.02302243160886781,0.09568932486291637,1.5243594875577962,BH_from_pvalue,b2781,nucleoside triphosphate pyrophosphohydrolase
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,ylbF,1763148_s_at,26.52588916666667,1.6286023188950725,3.092132881154324,0.03148728894930055,0.1159113759806924,1.5241664666660977,BH_from_pvalue,b0520,hypothetical protein
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,ygjT,1766343_s_at,652.53345,1.40376370685847,2.6459094815934665,0.01762222504765692,0.08214049008515152,1.5237050825774678,BH_from_pvalue,c3846,hypothetical protein
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,phnM,1768733_s_at,14.8638475,1.9319769467292165,3.8157772282172018,0.05453969298134535,0.16288507488401793,1.5226271754434306,BH_from_pvalue,Z5698,phosphonate metabolism protein
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,1762676_s_at,1762676_s_at,198.44308333333333,1.2905493058226245,2.4462117726922035,0.012138047499736362,0.06622404536467599,1.5215373614794043,BH_from_pvalue,,
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,Z1501,1760265_s_at,14.867037733333333,2.280178787787114,4.85738145735412,0.08429641107091067,0.21523205708150478,1.5210914073205875,BH_from_pvalue,ECs1247,hypothetical protein
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,1766682_s_at,1766682_s_at,778.9609166666668,1.4350911961489299,2.703992586389312,0.01958423164662541,0.08722331441917634,1.520288850023357,BH_from_pvalue,,
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,yrdB,1763113_s_at,1839.2335999999998,-1.4493607600163045,0.36618363939987125,0.02050113013229024,0.08935761587976891,1.520188740516133,BH_from_pvalue,b3280,hypothetical protein
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,ybaA,1763870_s_at,556.5539,1.5553046415848044,2.938957795644441,0.02715935055951002,0.10569677869290062,1.5178812876799403,BH_from_pvalue,b0456,hypothetical protein
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,yrfF,1760252_s_at,349.1431833333333,-1.5520146187492418,0.3410335030286624,0.026967984240375,0.1052731101819304,1.5173776040547005,BH_from_pvalue,b3398,membrane protein igaA-like protein
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,c5023,1764860_at,11.950682,2.649807039943081,6.275833336089559,0.11951363881946941,0.2675428125151631,1.5172972959628916,BH_from_pvalue,c5023,crotonase
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,Z5684,1764662_s_at,7.356967999999998,-1.4780598957287099,0.3589712240977468,0.022354914333933846,0.09410266619414297,1.5170778266999279,BH_from_pvalue,Z5684,transcriptional regulator
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,rdgC,1760161_s_at,2605.8031666666666,1.0910112452473797,2.130233011060883,0.004799243884042424,0.04075763857596095,1.5162775944607907,BH_from_pvalue,b0393,recombination associated protein
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,yraR,1767653_s_at,441.73406666666665,1.069424049440899,2.098595401870204,0.004079593012267033,0.03831139417591709,1.5150231534658334,BH_from_pvalue,b3152,hypothetical protein
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,Z2255,1767942_at,2.9193948666666665,1.4627559860909414,2.756344065232322,0.02171860095827879,0.09226112300545564,1.5139250386015686,BH_from_pvalue,Z2255,Rhs element protein
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,ydgB,1766734_s_at,427.05531666666667,-1.4498927323008504,0.3660486395340683,0.02085815367599966,0.09041190349240108,1.5133608981856541,BH_from_pvalue,b1606,short chain dehydrogenase
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,1759506_s_at,1759506_s_at,38.86619683333333,2.2313319101394358,4.6956728874736795,0.08106237643288333,0.20986171408239235,1.5129920529753365,BH_from_pvalue,,
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,c4574,1765743_x_at,23.041298666666666,1.9171660383030695,3.776804320152229,0.0544209563651921,0.16267324233554348,1.5120379440708764,BH_from_pvalue,c1284,hypothetical protein
aminoglycoside,gentamicin,gentamicin_vs_control,not_regulated,gnd,1759752_s_at,4380.6715,-1.1102678483262078,0.46320802454152976,0.0054245051111700806,0.043498309642438476,1.5116603405759377,BH_from_pvalue,c2556,6-phosphogluconate dehydrogenase
