Gene_id	ERY_1_readcount	ERY_1_fpkm
b4335	133	19.91153983
b4336	232	31.2352179
b4337	289	40.42410851
b4339	61	11.42288724
b4340	191	23.31293164
b4341	0	0
b4342	38	4.360439859
b4345	7	1.153073638
b4346	36	4.499135772
b4347	13	6.555758265
b4348	178	22.00652551
b4349	408	44.25564999
b4350	1493	73.29719294
b4351	150	28.27325759
b4352	469	84.52138205
b4353	4	3.381703358
b4354	164	13.14949646
b4355	92	9.581492848
b4356	116	14.68880842
b4357	170	32.04302526
b4358	2	0.337178634
b4359	852	64.11072178
b4360	176	61.32155423
b4361	329	76.88563773
b4362	260	83.03960469
b4363	13	4.730104064
b4364	33	7.381850521
b4365	0	0
b4366	9	2.289383247
b4367	3355	733.366734
b4368	6	11.89426698
b4369	0	0
b4370	1	1.982377831
b4371	665	111.1341758
b4372	217	90.39930209
b4373	140	54.01646975
b4374	586	149.064287
b4375	1486	161.1860193
b4376	3295	937.7530377
b4377	591	94.9049543
b4378	451	99.72122941
b4379	43	8.583420677
b4380	119	13.23246788
b4381	761	168.2657552
b4382	1475	192.2816592
b4383	7820	1101.871678
b4384	4512	1080.792393
b4385	170	22.01153762
b4386	280	47.48350438
b4387	103	27.5412213
b4388	524	93.26381893
b4389	749	93.40396716
b4390	791	110.6417641
b4391	5024	519.4685619
b4392	823	73.24057536
b4393	262	138.1844657
b4394	329	110.6074087
b4395	608	161.8207681
b4396	2249	445.8367741
b4397	195	70.95156097
b4398	102	25.49510271
b4399	191	23.11661222
b4400	67	8.540488082
b4401	6924	1665.495979
b4402	44	53.81944919
b4403	141	35.39713078
b4406	139	119.2681349
b4407	0	0
b4408	29118	13609.45896
b4409	72	98.55249787
b4410	6	8.212708156
b4411	916	1074.691524
b4412	0	0
b4413	6	18.81456777
b4414	43	54.52996665
b4415	2	2.254468905
b4417	2	4.366249906
b4418	5	5.102570156
b4419	0	0
b4420	2	5.148264814
b4421	0	0
b4422	0	0
b4423	0	0
b4424	0	0
b4425	0	0
b4426	5	8.982649545
b4427	0	0
b4428	4	4.599116567
b4429	66	203.2645269
b4430	8	20.29022015
b4431	1	1.627045955
b4432	208	144.0687117
b4433	11	15.67880648
b4435	1	0.884445494
