Gene_id	CHL_5_readcount	CHL_5_fpkm
b3752	1927	239.0982641
b3753	476	55.31403768
b3754	287	23.19163388
b3755	203	33.80184923
b3756	0	0
b3757	0	0
b3758	0	0
b3759	0	0
b3760	0	0
b3761	0	0
b3764	813	276.7378129
b3765	276	20.93907657
b3766	15	17.48371512
b3769	1	0.437092878
b3770	761	94.42334145
b3771	682	42.51631469
b3772	477	35.62604009
b3773	390	50.33901869
b3774	337	26.3463951
b3775	1081	442.3379925
b3777	79	20.30291551
b3778	1241	70.82201634
b3779	3784	294.0372356
b3780	5759	524.9174734
b3781	6201	2168.330349
b3783	10694	979.3711162
b3784	850	88.84387845
b3785	852	93.90107626
b3786	529	53.97227494
b3787	768	70.16742295
b3788	418	45.16298995
b3789	387	50.63141174
b3790	130	22.22374455
b3791	505	51.52362731
b3792	254	23.4290168
b3793	101	8.613927936
b3794	221	34.41531291
b3795	377	31.38743142
b3796	14	20.98045814
b3797	0	0
b3798	0	0
b3799	0	0
b3800	293	27.35437564
b3801	78	5.435154917
b3802	2958	285.1554499
b3803	2257	220.3391854
b3804	840	130.8093342
b3805	3294	403.5063271
b3806	8328	377.302279
b3807	255	91.66695496
b3809	1893	264.7733817
b3810	962	156.7904012
b3811	773	99.4408225
b3812	464	74.67521503
b3813	3500	186.7192877
b3816	403	48.89924865
b3817	16	4.845880095
b3818	1	0.302867506
b3819	158	20.46242214
b3820	164	40.43669496
b3821	424	56.237274
b3822	1124	70.87496843
b3823	784	145.6807335
b3824	120	22.29807145
b3825	1176	132.6506386
b3826	692	99.68991721
b3827	271	34.74596984
b3828	1242	150.2279974
b3829	1015	51.77869477
b3830	2063	291.7337847
b3831	2464	373.1327673
b3832	1125	90.90797251
b3833	2438	372.1256127
b3834	461	87.78209837
b3835	1372	96.47686601
b3836	1737	742.3585439
b3838	966	216.0255312
b3839	972	144.3520325
b3842	213	50.26299941
b3843	4512	348.4946782
b3844	3089	507.7599624
b3845	958	94.97081954
b3846	1042	54.90365553
b3847	3136	271.6748814
b3848	384	72.04996357
b3849	601	47.76233084
b3850	14	2.958782558
b3851	0	0
b3852	0	0
b3853	0	0
b3854	0	0
b3855	0	0
b3856	1	0.218546439
b3857	165	32.54660814
b3858	286	122.230595
b3859	964	112.703535
b3860	1328	244.4039334
b3861	17	1.370840556
b3862	64	7.915456876
b3863	6703	277.5299821
b3864	33	34.93535002
b3865	2183	397.9492428
b3866	1718	388.7144097
b3867	1761	147.8939063
b3868	606	49.5942319
b3869	246	27.03481892
b3870	6820	558.1397056
b3871	6551	414.4388142
b3872	319	51.77245261
b3873	490	57.63744617
b3874	38	3.46359854
b3875	3	0.499534718
b3876	16	1.31501447
b3877	9	0.749302076
b3878	15	0.849724004
b3879	3	0.373438575
b3880	42	3.902162504
b3881	25	3.281926046
b3882	20	2.572854398
b3883	88	11.32055935
b3884	288	42.28122862
b3885	882	169.6270041
b3886	544	71.90553351
b3887	281	74.03036086
b3888	1032	120.28796
b3889	4	2.166995676
b3890	81	42.67942512
b3891	3295	408.8369383
b3892	2422	439.435036
b3893	6062	774.6505591
b3894	26702	1009.90202
b3895	604	83.56964262
b3896	23	2.513284048
b3897	24	1.583430803
b3898	68	7.326509192
b3899	10	0.794714324
b3900	0	0
b3901	0	0
b3902	12	1.678436651
b3903	12	1.098976379
b3904	5	0.392491564
b3905	83	11.44274688
b3906	112	15.22257034
b3907	59	6.577931079
b3908	3578	664.8541638
b3909	74	8.677892747
b3910	404	69.06455998
b3911	1588	133.3648627
b3912	1162	191.8256194
b3915	752	96.09653917
b3916	4683	561.1455557
b3917	89	10.37367097
b3918	51	7.784416016
b3919	5670	851.9213374
b3920	113	21.73225789
b3921	90	23.54949383
b3922	238	91.54473235
b3923	362	97.37084419
b3924	737	113.8477739
b3925	631	72.02045497
b3926	2194	167.7741474
b3927	811	110.6185976
b3928	2709	1270.724943
b3929	2982	708.0257077
b3930	243	30.2485246
b3931	2525	218.7433276
b3932	624	135.6025091
b3933	1608	193.2824706
b3934	1606	180.6241586
b3935	1085	56.93537242
b3936	5984	3241.825532
b3937	381	72.19137936
b3938	2005	727.5534659
b3939	899	89.35217509
b3940	3100	147.0270494
b3941	779	100.8875117
b3942	5304	280.6244497
b3943	311	39.61045657
b3944	7	1.307035014
b3945	935	97.72826629
b3946	78	13.57559056
b3947	102	4.704251406
b3949	39	4.166952103
b3950	12	4.313739057
b3951	162	8.134720715
b3952	44	5.776189841
b3953	32	10.79696091
b3954	212	28.71269271
b3955	417	27.75010424
b3956	6048	263.1576017
b3957	637	63.80645408
b3958	59	6.77428723
b3959	133	19.75187275
b3960	825	69.28590161
b3961	2779	349.3200571
b3962	5031	414.3752798
b3963	2190	389.9839789
b3964	2752	882.1117067
b3965	1137	119.1655722
b3966	1329	83.12014026
b3967	22	2.958782558
b3968	0	0
b3969	2	3.036645257
b3970	0	0
b3971	0	0
b3972	365	40.93126309
b3973	675	80.6314191
b3974	532	64.55186174
b3976	0	0
b3977	46	62.44771658
b3978	7	10.76996851
b3979	5	7.591613143
b3980	132	12.8538503
b3981	2665	800.8361073
b3982	3386	715.6026959
b3983	5863	1577.031104
b3984	17553	2873.028226
b3985	25005	5793.955737
b3986	26853	8466.216758
b3987	26300	753.2447928
b3988	53294	1455.90174
b3989	28	5.98331584
b3990	389	39.58350105
b3991	307	45.94747545
b3992	175	26.71123143
b3993	95	17.23630405
b3994	392	23.85752518
b3995	2051	496.1636437
b3996	529	78.86646377
b3997	1990	215.6160698
b3998	959	164.6747418
b3999	731	142.7274652
b4000	5335	2255.014993
b4001	287	47.58283502
b4002	65	17.60683987
b4003	160	13.20658309
b4004	397	34.54813752
b4005	2407	215.3099187
b4006	2261	164.0896146
b4007	0	0
b4008	0	0
b4009	0	0
b4010	0	0
b4011	0	0
b4012	1	0.259893063
b4013	318	39.45679708
b4014	69828	5029.730881
b4015	100541	8890.175732
b4016	16635	1105.09762
b4017	49	2.585383388
b4018	8525	1192.389371
b4019	4115	128.8925676
b4020	560	39.59547247
b4021	391	65.38909454
b4022	807	106.6686867
b4023	782	330.5382801
b4024	472	40.34464395
b4025	6364	445.065452
b4026	74	35.1401089
b4027	0	0
b4028	3	0.469075284
b4029	126	6.933456124
b4030	53	14.8803006
b4031	55	4.299856767
b4032	428	55.42985237
b4033	183	13.66785186
b4034	1575	152.5971609
b4035	268	27.71074848
b4036	2344	201.7002732
b4037	633	79.30886538
b4038	2	0.145974092
b4039	559	129.5269449
b4040	1040	137.4664611
b4041	4332	206.2212853
b4042	495	154.7948436
b4043	3612	684.3970138
b4044	450	37.62799558
b4045	2567	1410.536182
b4046	1410	315.3167691
b4047	0	0
b4048	0	0
b4049	1240	137.8484822
b4050	65	30.86631187
b4051	2090	245.0918357
b4052	2876	234.3706828
b4053	1301	139.0052484
b4054	956	92.39133074
b4055	2872	464.1559059
b4056	1408	389.6227047
b4057	1443	466.4185043
b4058	7468	305.2608352
b4059	2478	532.4816834
b4060	190	77.74673318
b4061	474	34.46506262
b4062	988	351.8759554
b4063	110	27.29715521
b4064	700	59.8331584
b4065	882	61.68254693
b4066	12	1.070928258
b4067	6532	456.8145086
b4068	956	350.2071394
b4069	13083	770.6382523
b4070	302	24.25089838
b4071	66	13.43193352
b4072	38	6.525172249
b4073	71	8.56099154
b4074	37	2.573552279
b4075	4	1.202005414
b4076	7	1.35301112
b4077	1047	91.94518128
b4078	763	127.6007139
b4079	584	31.37301282
b4080	16	1.258541456
b4081	11	0.618575886
b4082	2	0.223628914
b4083	6	0.348617885
b4084	52	6.452054869
b4085	21	3.481670855
b4086	9	1.05864697
b4087	18	1.354902385
b4088	108	13.31452151
b4089	1112	144.014009
b4090	48	12.30853544
b4092	139	21.13249045
b4093	70	18.56891123
b4094	13	2.688356195
b4095	15	1.522328757
b4096	9	1.525011275
b4097	9	1.368290748
b4098	2	0.272795555
b4099	2	0.216699568
b4100	1	0.197252171
b4101	0	0
b4102	2	0.317885729
b4104	0	0
b4105	4	0.453854552
b4106	2	0.292503219
b4107	656	170.489849
b4108	299	102.6856054
b4109	350	18.11905873
b4110	56	7.351514343
b4111	1818	139.5765808
b4112	385	40.68326018
b4113	235	40.53399424
