Gene_id	Wu_4_readcount	Wu_4_fpkm
b0640	305	47.25257304
b0641	662	181.8613141
b0642	4909	303.8602886
b0643	4025	1332.367633
b0644	36	5.885304883
b0645	0	0
b0646	0	0
b0647	0	0
b0648	0	0
b0649	32	3.523616881
b0650	28	2.679087521
b0651	926	158.1759524
b0652	265	58.3599046
b0653	171	40.50397605
b0654	204	44.01667971
b0655	2412	424.2469612
b0656	3	0.47163456
b0657	813	84.46119968
b0658	3347	608.7965145
b0659	959	327.6257847
b0660	2450	376.2882653
b0661	1059	118.819143
b0662	1475	200.5349244
b0664	0	0
b0665	0	0
b0666	0	0
b0668	0	0
b0670	0	0
b0672	0	0
b0673	3	6.229251272
b0674	557	53.48675832
b0675	446	94.69895848
b0676	873	114.3151788
b0677	572	79.59418133
b0678	701	139.9235522
b0679	2109	173.1872628
b0680	1253	120.3211996
b0681	22	2.499964856
b0682	39	19.06874778
b0683	1076	384.8664627
b0684	618	186.0798186
b0685	31	16.85852924
b0686	270	56.429688
b0687	585	171.30441
b0688	2422	235.9776532
b0689	7	2.260987499
b0691	2	0.491195441
b0692	69	8.357578791
b0693	16	1.163322354
b0694	156	36.78749572
b0695	745	44.36263181
b0696	43	11.99828445
b0697	89	6.944698059
b0698	28	2.674286289
b0699	4120	3182.234579
b0700	29	1.105541098
b0702	1	0.488942251
b0703	1	0.105117762
b0704	6	1.682990695
b0705	0	0
b0706	0	0
b0707	229	71.79110306
b0708	589	66.36486562
b0709	31	3.344404586
b0710	1021	219.4108635
b0711	1111	270.3672038
b0712	1523	260.9898271
b0713	635	138.131175
b0714	131	26.44547878
b0715	81	12.36925826
b0716	1	0.150550015
b0717	9	1.973877975
b0718	8	0.522497111
b0719	4	1.127930272
b0720	4142	515.7632465
b0721	170	69.6930762
b0722	44	20.21523306
b0723	3306	299.1380235
b0724	2403	535.8459285
b0726	11829	674.9711663
b0727	12042	1580.726211
b0728	10933	1497.868929
b0729	7968	1464.317973
b0730	214	47.32392921
b0731	10	0.80872087
b0732	162	9.833419435
b0733	27084	2759.911662
b0734	12432	1743.57836
b0735	647	351.8538199
b0736	148	58.42678807
b0737	199	45.91188901
b0738	132	49.19511261
b0739	933	117.8292893
b0740	2394	296.0267391
b0741	3706	1135.115965
b0742	1980	399.71029
b0743	120	252.4486042
b0744	15	31.55607552
b0745	10	21.03738368
b0746	12	25.24486042
b0747	0	0
b0748	29	61.00841268
b0749	0	0
b0750	176	26.95364408
b0751	328	72.83609729
b0752	244	41.41372007
b0753	3649	1531.278581
b0754	5570	845.730794
b0755	6737	1430.463864
b0756	1304	200.2775094
b0757	895	124.5398467
b0758	728	111.1706174
b0759	1050	165.0720962
b0760	242	26.26745151
b0761	302	61.19772247
b0762	168	179.0702099
b0763	139	28.71303892
b0764	137	31.74510709
b0765	212	32.0070185
b0766	62	12.10355945
b0767	1921	308.3708703
b0768	8	1.340747304
b0769	1	0.151836767
b0770	5	0.557475997
b0771	24	1.696383194
b0772	373	46.44608666
b0773	744	249.3789985
b0774	62	7.684352862
b0775	47	7.218591212
b0776	33	4.5681176
b0777	19	4.018251592
b0778	15	3.537259203
b0779	3190	252.2405193
b0780	213	37.46459484
b0781	608	98.19145709
b0782	308	95.99280258
b0783	183	60.20327824
b0784	18	11.69883776
b0785	162	57.17710108
b0786	2412	547.0077841
b0787	19	4.254619333
b0788	98	16.3726681
b0789	360	46.34322203
b0790	278	58.33042552
b0791	1959	762.075385
b0792	133	19.20920273
b0793	138	19.45679718
b0794	384	35.34571131
b0795	195	31.20861123
b0796	44	10.46860283
b0797	184	21.55214457
b0798	133	44.02606093
b0799	2009	149.3292371
b0800	1019	169.1816347
b0801	850	125.1395015
b0802	233	142.731797
b0803	203	121.5598335
b0804	17	4.008893764
b0805	38	2.661233643
b0806	539	330.1821399
b0807	160	27.59596393
b0808	496	35.62557122
b0809	610	134.8953122
b0810	386	93.50798299
b0811	2453	525.0277597
b0812	53657	17021.63098
b0813	65	11.70322921
b0814	13760	4263.576426
b0815	78	7.873081469
b0817	250	85.40818162
b0818	128	18.28879968
b0819	1293	224.4627166
b0820	639	64.13430642
b0821	128	16.16521868
b0822	47	9.209011583
b0823	122	8.017205981
b0824	4	0.710596071
b0825	129	31.10867415
b0826	405	86.33742264
b0827	1010	130.6496417
b0828	1262	208.8755221
b0829	1400	119.5714543
b0830	1020	105.9660808
b0831	236	40.96921973
b0832	85	14.90148011
b0833	18	1.22516564
b0834	10	1.203040752
b0835	198	23.87409877
b0836	12440	5179.579174
b0837	488	69.91348441
b0838	608	155.0391428
b0839	1342	178.3578418
b0840	250	52.6627523
b0841	47	12.58719171
b0842	242	31.38033745
b0843	179	100.4184448
b0844	1072	210.0438387
b0845	1837	242.9339298
b0846	922	274.5123928
b0847	581	55.09648363
b0848	47	19.87977104
b0849	107	66.30852873
b0850	105	58.29108396
b0851	391	86.46568375
b0852	292	51.70117594
b0853	225	75.41703585
b0854	241	34.62001074
b0855	154	21.71265773
b0856	54	9.050044301
b0857	103	19.46579663
b0858	29	9.48188009
b0859	86	12.18974643
b0860	55	12.01315079
b0861	1495	357.2896165
b0862	1319	294.1243361
b0863	2739	598.2549094
b0864	874	191.6854834
b0865	845	261.8257326
b0866	708	349.3764016
b0867	1280	246.2715625
b0868	215	33.90047824
b0869	520	58.09904984
b0870	1012	161.4797659
b0871	3748	348.6013186
b0872	1460	240.8986681
b0873	6606	638.9561224
b0874	27	4.79652348
b0875	98	22.51241863
b0876	724	69.77462325
b0877	154	24.79572393
b0878	386	55.30042005
b0879	743	61.01381519
b0880	19281	13701.00285
b0881	214	106.5894107
b0882	18278	1283.426382
b0883	9	16.35178459
b0884	1156	843.9545118
b0885	244	55.33577915
b0886	1255	116.524138
b0887	906	81.97793384
b0888	373	61.7357922
b0889	1227	396.3188087
b0890	5702	228.4860224
b0891	1034	270.1310064
b0892	722	85.89012779
b0893	11344	1402.726537
b0894	1974	129.0843538
b0895	276	71.40455666
b0896	463	85.67864086
b0897	13528	3449.620927
b0898	244	33.95276267
b0899	83	9.273502185
b0900	12	2.110681399
b0901	4	1.082125997
b0902	1998	431.1045395
b0903	42596	2983.102849
b0904	1767	329.2718333
b0905	471	42.76287259
b0906	252	58.13967854
b0907	1657	243.2763822
