Gene_id	CIP_1_readcount	CIP_1_fpkm
b1993	95	29.8611132
b1994	0	0
b1996	7	1.326004121
b1997	0	0
b1999	55	17.10009972
b2000	147	8.086075128
b2001	29	3.246615624
b2002	10	3.839436668
b2003	0	0
b2004	2	0.930204981
b2005	1	0.457660851
b2006	30	30.64693197
b2007	1043	542.432122
b2008	1504	243.7400565
b2009	2661	963.4774714
b2010	132	19.41234971
b2011	438	52.64061256
b2012	54	40.64750977
b2013	167	27.0642217
b2014	1066	134.6209898
b2015	330	60.89841966
b2016	1237	257.3302147
b2017	69	46.99196236
b2018	2	6.730306629
b2019	148	28.22241913
b2020	164	21.56792515
b2021	144	23.07533701
b2022	176	28.28241213
b2023	89	25.84506074
b2024	73	16.97624091
b2025	132	29.15600015
b2026	130	36.45582757
b2027	3846	672.8454251
b2028	195	28.6773348
b2029	2989	364.5917598
b2030	0	0
b2032	537	82.36054855
b2033	214	62.14430334
b2034	526	90.90997262
b2035	443	65.14902214
b2036	649	100.8905884
b2037	516	70.95943479
b2038	187	57.51517412
b2039	608	118.3068866
b2040	739	140.9214036
b2041	1302	205.7577444
b2042	2553	490.1040906
b2043	36	4.428975975
b2044	68	9.558027596
b2045	43	5.760953332
b2046	48	5.569908934
b2047	25	3.075677761
b2048	51	6.384218651
b2049	50	5.971566424
b2050	34	4.767300529
b2051	9	3.217927857
b2052	29	5.152237839
b2053	44	6.730306629
b2054	13	4.06392832
b2055	18	4.135489615
b2056	20	2.818108687
b2057	24	3.381730424
b2058	6	2.105801461
b2059	18	3.677631837
b2060	55	4.363964423
b2061	1	0.386537881
b2062	33	4.968028972
b2063	373	40.41370676
b2064	1143	105.8063011
b2065	1152	339.7070233
b2066	399	106.6627801
b2067	829	42.87984237
b2068	183	36.99290446
b2069	302	38.30753241
b2070	135	11.8998873
b2071	13	4.829213523
b2072	12	2.70272156
b2073	44	11.44152127
b2074	245	33.6919797
b2075	384	21.10251761
b2076	364	20.29587594
b2077	110	13.33228114
b2078	129	15.76876329
b2079	186	44.15192855
b2080	708	364.8917594
b2081	694	87.44951278
b2082	33	25.86097273
b2083	12	9.668891213
b2085	18	9.714499191
b2086	797	151.9815409
b2088	1	0.572076063
b2089	12	2.37540234
b2091	8977	1479.978911
b2092	22182	2803.341216
b2093	1973	1188.111656
b2094	5295	2006.054805
b2095	27717	3766.32595
b2096	26644	5348.208644
b2097	2624	427.6716782
b2098	56	7.520248722
b2099	92	15.71074562
b2100	93	16.52269376
b2101	322	73.97931423
b2102	173	36.25243919
b2103	440	94.27470709
b2104	513	111.5874603
b2105	43	27.03216564
b2106	49	10.19335531
b2107	271	137.1970028
b2108	20	3.316382977
b2109	18	1.245147417
b2110	10	2.383650264
b2111	29	9.16585958
b2112	111	67.55366281
b2113	1682	260.0626861
b2114	2081	175.5885381
b2118	116	5.479836776
b2119	26	4.097514504
b2120	42	3.161472982
b2121	16	2.415096838
b2122	53	4.545731839
b2123	17	6.315125376
b2124	590	214.9839984
b2125	303	72.22460301
b2126	601	61.17752921
b2127	283	66.35144507
b2128	175	41.03004554
b2129	123	22.77195981
b2130	258	38.23720839
b2131	702	131.2409793
b2132	917	68.48482379
b2133	2625	262.5349067
b2134	293	53.89655518
b2135	304	88.73016495
b2136	415	123.0111743
b2137	193	43.46877175
b2139	32	3.824463934
b2140	173	31.31935411
b2141	17	7.312250435
b2142	77	18.98700728
b2143	608	117.9058463
b2144	51	12.15661635
b2145	22	15.73209175
b2146	146	20.22351217
b2147	184	25.54902808
b2148	580	98.4581949
b2149	884	99.74659568
b2150	4309	740.2629902
b2151	681	112.2719882
b2152	288	42.68339541
b2153	1248	320.1573665
b2154	573	117.4908905
b2155	347	29.89614368
b2156	1018	118.8517209
b2157	672	130.7602431
b2158	249	40.69912566
b2159	460	92.01223398
b2160	383	60.35954058
b2161	44	6.036294195
b2162	13	2.368467779
b2163	22	5.720760635
b2164	167	22.91048024
b2165	82	14.98729623
b2166	47	8.562921969
b2167	1052	106.7063863
b2168	292	53.36939634
b2169	200	30.34886278
b2170	237	34.41168199
b2171	533	159.6421685
b2172	573	67.03467983
b2173	696	121.0227782
b2174	402	96.62797374
b2175	3109	941.0499901
b2176	534	58.86100537
b2177	472	44.63138875
b2178	137	21.47244403
b2179	207	34.62565647
