Gene_id	KAN_3_readcount	KAN_3_fpkm
b0574	202	27.19454051
b0575	636	33.33391716
b0576	2345	280.6213311
b0577	1296	171.1205588
b0578	594	149.6650759
b0579	109	48.67566632
b0580	83	54.92758677
b0581	284	41.82154059
b0582	0	0
b0583	72	19.10524757
b0584	478	35.14777306
b0585	102	13.97160561
b0586	857	36.37785306
b0587	34	4.940576587
b0588	73	14.74159498
b0589	187	31.03159736
b0590	527	86.40847231
b0591	778	102.478807
b0592	194	33.40423772
b0593	302	42.31666123
b0594	139	14.21775523
b0595	81	15.55641443
b0596	128	28.2358679
b0597	44	17.51314361
b0598	8046	629.5546483
b0599	643	97.29597325
b0600	297	42.15372938
b0601	62	16.21671609
b0602	28	3.778802038
b0603	18	3.284706185
b0604	35	7.720745128
b0605	2251	657.6702011
b0606	1482	155.9438383
b0607	2617	1005.213249
b0608	391	52.00166205
b0610	310	124.2887
b0611	141	28.7910399
b0612	83	9.342192011
b0613	10	1.874661664
b0614	17	5.074831386
b0615	52	5.589500023
b0616	16	2.900466628
b0617	4	2.219296435
b0618	11	1.711624517
b0619	507	50.35856508
b0620	126	30.48844023
b0621	291	34.59724621
b0622	58	17.03636381
b0623	11132	8735.055655
b0624	99	42.48305539
b0627	546	441.0362114
b0628	1137	193.9523794
b0629	49	8.463684753
b0630	273	70.07117377
b0631	472	294.6116017
b0632	313	42.55528381
b0633	522	78.98677766
b0634	312	46.19247189
b0635	1413	122.4174765
b0636	570	200.6969516
b0637	627	324.9018576
b0638	80	21.5402301
b0639	136	34.9072514
b0640	338	53.96954746
b0641	725	205.2706206
b0642	3433	219.0086009
b0643	1019	347.6472728
b0644	75	12.63671475
b0645	38	8.844272445
b0646	77	8.885344918
b0647	35	10.3917056
b0648	49	11.40445657
b0649	320	36.31575984
b0650	193	19.03235951
b0651	230	40.49149024
b0652	320	72.63151969
b0653	288	70.30731106
b0654	378	84.05922185
b0655	1798	325.9399373
b0656	1	0.16202828
b0657	1231	131.804794
b0658	1473	276.1376632
b0659	210	73.94098218
b0660	687	108.7471242
b0661	2746	317.53927
b0662	932	130.59314
b0664	3	6.591310412
b0665	0	0
b0666	0	0
b0668	0	0
b0670	0	0
b0672	0	0
b0673	7	14.98025094
b0674	1303	128.9561181
b0675	680	148.8078048
b0676	291	39.27254975
b0677	258	37.00082868
b0678	241	49.578833
b0679	1677	141.9315301
b0680	1021	101.0469659
b0681	367	42.98171502
b0682	32	16.12553006
b0683	1479	545.2208109
b0684	448	139.0257563
b0685	423	237.0854
b0686	287	61.8204604
b0687	255	76.95898146
b0688	1866	187.3763746
b0689	16	5.326311444
b0691	125	31.64031496
b0692	242	30.21017272
b0693	125	9.366914523
b0694	211	51.28195048
b0695	1928	118.3244551
b0696	100	28.75789883
b0697	334	26.8606354
b0698	101	9.942090078
b0699	975	776.1506826
b0700	46	1.807345487
b0702	8	4.031382515
b0703	18	1.950091838
b0704	7	2.023647933
b0705	0	0
b0706	2	0.432500683
b0707	8	2.584827612
b0708	383	44.4762489
b0709	183	20.34766878
b0710	577	127.7952321
b0711	461	115.6238242
b0712	724	127.8700091
b0713	542	121.5132736
b0714	446	92.79433219
b0715	177	27.85725747
b0716	83	12.87850198
b0717	15	3.390591776
b0718	240	16.15517258
b0719	42	12.20613039
b0720	9367	1202.11847
b0721	2219	937.5716541
b0722	288	136.3719396
b0723	4233	394.7512305
b0724	1535	352.777597
b0726	1364	80.21544791
b0727	1549	209.5636254
b0728	1039	146.7089014
b0729	926	175.3894667
b0730	345	78.63077773
b0731	185	15.41973225
b0732	560	35.03354053
b0733	3314	348.0497563
b0734	1906	275.5052115
b0735	159	89.1172071
b0736	237	96.4284301
b0737	809	192.3654446
b0738	406	155.9482533
b0739	3724	484.7164292
b0740	5748	732.5377465
b0741	1636	516.4455859
b0742	1569	326.444635
b0743	133	288.3698305
b0744	122	264.5196942
b0745	62	134.4280413
b0746	67	145.2690124
b0747	5	10.84097107
b0748	10	21.68194214
b0749	1	2.168194214
b0750	484	76.39354021
b0751	523	119.6963662
b0752	152	26.58915028
b0753	187	80.87762776
b0754	2369	370.7220885
b0755	909	198.9210214
b0756	891	141.0388467
b0757	170	24.38039099
b0758	275	43.28104974
b0759	686	111.1513998
b0760	1135	126.9711018
b0761	228	47.61783187
b0762	91	99.96820791
b0763	494	105.1714258
b0764	285	68.06244447
b0765	727	113.1228203
b0766	171	34.40519171
b0767	525	86.85838269
b0768	103	17.79101081
b0769	103	16.11835167
b0770	233	26.77432577
b0771	873	63.5965295
b0772	896	114.9885929
b0773	112	38.6911303
b0774	163	20.82138754
b0775	86	13.61317712
b0776	108	15.40825811
b0777	57	12.42409701
b0778	22	5.346933225
b0779	4382	357.1108089
b0780	562	101.8788903
b0781	1101	183.2584031
b0782	231	74.20042423
b0783	139	47.12922568
b0784	11	7.36833481
b0785	138	50.19872168
b0786	855	199.8429221
b0787	146	33.69507423
b0788	63	10.84776792
