Gene_id	IPM_2_readcount	IPM_2_fpkm
b4301	56	13.49266935
b4302	16	5.648716734
b4303	37	6.99264934
b4304	48	5.571337053
b4305	37	5.029472386
b4306	101	20.62121892
b4307	70	19.55325023
b4308	10	1.228971409
b4309	3	0.466407804
b4310	19	2.617697999
b4311	1	0.212713182
b4312	13	3.288058994
b4313	11	2.810165611
b4314	447	124.1791662
b4315	53	14.96909934
b4316	25	5.251906054
b4317	28	1.619427323
b4318	6	1.723337309
b4319	5	1.513049125
b4320	42	7.093737294
b4321	41	4.65262606
b4322	191	24.5826432
b4323	218	22.75725304
b4324	619	121.9728718
b4325	2	0.367064625
b4326	12	4.656957307
b4327	151	25.25199356
b4328	262	34.06566255
b4329	21	6.932515992
b4330	34	7.581172459
b4331	495	136.0272057
b4332	38	4.915677158
b4333	10	1.771374586
b4334	50	9.929384884
b4335	185	24.49248271
b4336	385	45.83794727
b4337	326	40.32441581
b4339	74	12.25421936
b4340	306	33.0288023
b4341	0	0
b4342	42	4.261906039
b4345	23	3.350384997
b4346	74	8.178359445
b4347	22	9.810929064
b4348	132	14.43156017
b4349	515	49.39962653
b4350	3399	147.5660919
b4351	133	22.16889813
b4352	284	45.26056417
b4353	1	0.747624274
b4354	82	5.81416032
b4355	91	8.380976458
b4356	133	14.89320249
b4357	40	6.667337784
b4358	3	0.447259096
b4359	825	54.89754156
b4360	291	89.66054016
b4361	884	182.6877656
b4362	714	201.6591874
b4363	46	14.8010679
b4364	116	22.94653802
b4365	0	0
b4366	12	2.699386758
b4367	751	145.1698723
b4368	4	7.012200083
b4369	0	0
b4370	3	5.259150063
b4371	1000	147.7861936
b4372	272	100.2033229
b4373	198	67.5571357
b4374	613	137.8936735
b4375	1391	133.4269524
b4376	5985	1506.277856
b4377	845	119.9957842
b4378	495	96.78858865
b4379	314	55.42803295
b4380	781	76.79851049
b4381	1703	332.9918515
b4382	2400	276.67184
b4383	4707	586.5112426
b4384	2532	536.3456539
b4385	195	22.3276979
b4386	268	40.1908695
b4387	131	30.97598618
b4388	595	93.64977743
b4389	705	77.74643748
b4390	891	110.2118236
b4391	3370	308.1395297
b4392	1543	121.4299215
b4393	219	102.143309
b4394	289	85.91995453
b4395	594	139.8057392
b4396	5733	1005.023577
b4397	160	51.4819753
b4398	48	10.6097636
b4399	123	13.164483
b4400	80	9.017906981
b4401	6676	1420.073206
b4402	52	56.24679641
b4403	156	34.63230696
b4406	126	95.60663845
b4407	1	0.758782845
b4408	77302	31950.51958
b4409	41	49.6280113
b4410	9	10.8939537
b4411	419	434.7206286
b4412	0	0
b4413	11	30.50307036
b4414	13	14.57867334
b4415	2	1.99366473
b4417	2	3.861148147
b4418	3	2.707373109
b4419	0	0
b4420	0	0
b4421	0	0
b4422	1	2.310838664
b4423	0	0
b4424	0	0
b4425	0	0
b4426	6	9.532209488
b4427	0	0
b4428	0	0
b4429	53	144.3448865
b4430	59	132.3294964
b4431	1	1.438824074
b4432	192	117.602199
b4433	9	11.34411708
b4435	0	0
b4436	37	39.46201411
b4437	29	32.5216559
b4438	0	0
b4439	5	8.199750098
b4440	224	112.3797329
b4441	14	11.60442894
b4442	18	35.19585042
b4443	1930	1428.905966
b4444	2	3.466257996
b4445	7	13.0196032
b4446	83	90.41981572
b4447	5	5.332704609
b4449	5	4.382625052
b4450	6	7.562744718
b4451	3	5.08384506
b4452	17	24.69296172
b4453	73	103.0890804
b4454	14	32.35174129
b4455	0	0
b4456	120	88.4146967
b4457	9883	6152.282539
b4458	1	1.386503198
b4459	5	5.446976851
b4460	78	12.05288495
b4461	463	54.8676052
b4462	0	0
b4463	29	3.039824882
b4464	55	6.131830665
b4465	22	2.62545989
b4466	185	6.183506484
b4467	514	64.04647944
b4468	337	48.81070614
b4469	2186	150.1795311
b4470	79	9.190475052
b4471	54	6.033574357
b4472	1146	45.98331838
b4473	201	27.24940952
b4474	24	4.404775504
b4475	185	27.74369723
b4476	78	8.871139032
b4477	54	13.32658414
b4478	112	14.86659652
b4479	93	20.55641698
b4480	203	36.85787669
b4481	242	34.17473624
b4482	14	2.791130621
b4483	398	77.52376759
b4484	14600	4444.559155
b4485	314	31.86282134
b4486	140	7.270054223
b4487	431	199.1942928
b4488	289	26.79449038
b4490	91	16.72156267
b4491	29	1.670296527
b4492	541	13.60890736
b4493	10155	1547.246152
b4494	7	0.561898665
b4495	1	0.135088886
b4496	209	26.71895099
b4497	2	0.289677781
b4498	1745	343.8492105
b4499	19	0.763380317
b4500	129	4.272417022
b4501	11	8.346611293
b4502	49	29.30687153
b4503	2	1.117328585
b4504	0	0
b4505	70	42.87580171
b4506	6	6.490014971
b4508	1	0.488831256
b4509	0	0
b4510	0	0
b4511	2	1.392834263
b4512	453	348.9366382
b4513	0	0
b4514	0	0
b4515	0	0
b4516	1	0.552591854
b4517	2	1.753050021
b4518	2774	2431.480379
b4519	1	0.924335466
b4520	1	0.696417132
b4521	0	0
b4522	12	11.09202559
b4523	67	60.82457483
b4524	19	2.678180854
b4525	3	3.315551126
b4526	1	0.891902642
b4527	7	6.843637581
b4528	0	0
b4529	595	339.8750349
b4532	14	12.06336116
b4533	0	0
b4535	63	88.96728856
b4536	149	94.68661425
b4537	91	55.07498816
b4538	31	25.4192253
b4539	52	31.10116978
b4541	0	0
b4542	318	449.0729803
b4543	37	28.50034352
b4544	4	1.81565895
b4545	0	0
b4546	13	9.05342271
b4547	151	114.5762096
b4548	1	0.758782845
b4550	12	8.357005579
b4551	41	31.11009664
b4552	0	0
b4553	57	28.97791684
b4554	1848	1342.135096
b4555	11	5.706356701
b4556	16	2.994166416
b4557	16	9.458316392
b4558	451	337.1785474
b4559	0	0
b4561	8	4.569748369
b4565	4	2.186600026
b4566	44	26.01037008
b4567	2	1.287049382
b4568	1000	941.452789
b4569	5	1.396660731
b4570	13	4.969171864
b4571	635	121.8204382
b4572	13	1.57357109
b4573	85	14.45240235
b4575	475	60.42101094
b4576	8	2.4208786
b4577	0	0
b4578	6	2.118268775
b4579	1	0.218190775
b4580	47	2.465848481
b4581	186	35.99981654
b4582	37	11.19656353
b4585	19	34.49752005
b4586	2	0.635480633
b4587	81	18.0610285
b4588	0	0
b4589	1	0.782130009
b4590	2	1.182289549
b4592	0	0
b4593	0	0
b4594	1	0.81997501
b4595	150	131.4787516
b4596	28	24.54270029
b4597	6	14.29831423
b4598	78	123.9187233
b4599	41	65.13676484
b4600	20	2.229756605
b4601	0	0
b4602	114	193.1861123
b4603	0	0
b4606	170	432.1268301
b4608	0	0
b4609	0	0
b4611	8	8.592414187
b4613	664	1205.597543
b4614	0	0
b4615	0	0
b4616	2	2.17879074
b4618	487	825.2775148
b4620	10	5.466500065
b4621	0	0
b4622	0	0
b4623	21	3.076678567
b4624	193	327.0606989
b4625	1	1.980718855
b4626	1	2.4208786
b4627	0	0
b4628	0	0
b4629	4	12.4502328
b4630	0	0
b4631	3	3.546868647
b4632	1	1.63995002
b4633	0	0
b4634	0	0
b4635	2	6.778460081
b4636	1	1.016769012
b4637	25	43.82625052
b4638	42	125.600878
b4639	12	21.03660025
b4640	23	6.581337883
b4641	49	47.00158641
b4642	58	68.57279384
b4643	0	0
b4644	0	0
b4645	5	54.46976851
b4646	5	1.935474008
b4647	0	0
b4648	7	10.46673983
b4649	2	1.588701581
b4650	0	0
b4651	2	0.835700558
b4652	1	0.766408803
b4653	1	1.155419332
b4654	2	1.87135401
b4655	0	0
b4656	186	108.6891013
b4657	1	0.619981105
b4658	356	64.94672876
b4659	110	20.81475025
b4660	26	2.46757881
b4661	138	7.954315401
b4662	0	0
b4663	13	22.78965027
b4664	0	0
b4665	5	12.70961265
b4666	7	17.79345771
b4667	16	40.67076048
b4668	4	10.70283171
b4669	0	0
b4670	6	16.9461502
b4671	0	0
b4672	10	14.5252716
b4673	0	0
b4674	0	0
b4675	3	6.100614073
b4676	0	0
b4677	7	16.17587065
b4678	1	2.4208786
b4679	64	116.2021728
b4680	77	163.1066957
b4682	0	0
b4683	0	0
b4684	0	0
b4685	7	13.18033905
b4686	201	276.1764479
b4687	60	112.9743347
b4688	11	8.183750585
b4689	0	0
b4690	77	156.5824279
b4691	61	57.78531963
b4692	0	0
b4693	16	2.151892089
b4694	37	16.64621834
b4695	0	0
b4696	348	9.970945413
b4697	0	0
b4698	1	1.5562791
b4699	2	2.500251669
b4700	2	5.170011926
b4701	0	0
b4702	20	56.48716734
b4703	24	40.67076048
b4704	127	280.716662
b4705	282	333.4056528
b4706	0	0
b4707	0	0
b4708	1	0.87652501
b4712	31	56.28542746
b4713	0	0
b4714	0	0
