Gene_id	TET_1_readcount	TET_1_fpkm
b1054	350	59.0368281
b1055	413	60.93071609
b1056	114	30.74659092
b1057	51	13.97338802
b1058	0	0
b1059	413	57.33694731
b1060	9514	5796.122671
b1061	539	340.3833121
b1062	568	84.2783949
b1063	634	175.566236
b1064	398	95.41632114
b1065	246	31.60992082
b1066	423	112.330865
b1067	424	101.6495482
b1068	514	86.41830613
b1069	335	33.88193407
b1070	25	9.313620877
b1071	28	14.79535202
b1072	37	8.709082213
b1073	2	0.74508967
b1074	2	0.767166401
b1075	14	3.124880384
b1076	9	1.156460518
b1077	11	2.260401003
b1078	21	4.166507179
b1079	15	3.333716657
b1080	11	1.556341674
b1081	15	2.473745163
b1082	48	4.53580135
b1083	128	20.84376637
b1084	7165	349.3695295
b1085	4	1.935840452
b1086	545	88.1941687
b1087	463	122.953169
b1088	5458	1624.342584
b1089	1253	1118.707177
b1090	399	57.87593585
b1091	833	135.6473233
b1092	1345	224.6745795
b1093	7870	1663.420292
b1094	12306	8066.463379
b1095	14351	1795.044297
b1096	298	57.15389689
b1097	380	57.7062117
b1098	350	84.69301975
b1099	586	90.58288656
b1100	1078	209.8603879
b1101	1379	149.392817
b1102	111	7.873964741
b1103	1393	601.1228232
b1104	632	259.7406244
b1105	1440	348.4512813
b1106	290	54.60829928
b1107	681	103.1132209
b1108	603	172.5170743
b1109	173	20.59444977
b1110	101	29.05642744
b1111	205	50.31120889
b1112	50	30.10682098
b1113	315	50.81581185
b1114	2021	91.08348349
b1115	4	0.578589185
b1116	1122	145.2533685
b1117	603	133.4426942
b1118	1232	153.7290552
b1119	1189	202.5357153
b1120	881	187.7426665
b1121	1	0.19689632
b1122	5	1.681290003
b1123	855	126.8627247
b1124	126	24.62169903
b1125	115	21.57655503
b1126	738	100.8348134
b1127	881	111.5439314
b1128	1671	231.3652842
b1129	715	76.02745059
b1130	831	192.1083989
b1131	1934	219.1460347
b1132	718	173.7416805
b1133	1948	273.3731981
b1134	123	41.35973406
b1135	227	53.92159258
b1136	14897	1849.933469
b1137	121	28.22446658
b1138	27	5.949620281
b1139	49	8.514774738
b1140	70	9.640588419
b1141	3	1.894526783
b1143	98	44.51583986
b1144	8	4.022037443
b1145	213	49.02193303
b1146	1	0.772891524
b1147	2	0.556814323
b1148	0	0
b1150	0	0
b1151	2	0.754132021
b1152	6	1.195009202
b1153	4	1.062230402
b1154	4	0.986356801
b1155	11	4.127688789
b1156	3	0.772891524
b1157	5	1.55041114
b1158	3	0.839736196
b1159	115	21.42132802
b1160	13	6.233227009
b1161	69	26.46724084
b1162	1239	262.9510002
b1163	1859	238.2820741
b1164	23	15.07627643
b1165	12	6.82862401
b1166	21	12.21863341
b1167	10	6.239003865
b1168	33	3.363903855
b1171	42	19.77197043
b1172	17	7.654986481
b1174	554	322.3391862
b1175	2293	438.1553419
b1176	811	181.0198565
b1177	208	87.56923799
b1178	88	34.00722704
b1179	251	132.6297628
b1180	1257	295.8734146
b1181	217	72.96798611
b1182	15	2.555118359
b1183	24	8.877211213
b1184	52	6.365848861
b1185	821	240.1945991
b1186	957	96.41445836
b1187	1355	292.3623207
b1188	2443	247.5688013
b1189	4103	490.6897291
b1190	3275	475.0468419
b1191	400	35.77459902
b1192	210	35.65437291
b1193	368	93.4137912
b1194	7	1.479535202
b1195	352	214.4455728
b1196	76	26.77254175
b1197	232	21.22584071
b1198	407	44.55809504
b1199	174	42.70317242
b1200	437	63.38792974
b1201	209	16.91062501
b1202	233	12.62093052
b1203	771	109.6847732
b1204	276	73.29389771
b1205	7032	3915.518322
b1206	720	66.5790841
b1207	2245	367.8939194
b1208	1532	279.3404139
b1209	367	91.36841189
b1210	1700	210.1010609
b1211	839	120.3505574
b1212	444	82.70495339
b1213	82	32.41424451
b1214	911	174.7221479
b1215	1581	287.2634401
b1216	408	57.56883566
b1217	344	231.3455044
b1218	1056	235.7052633
b1219	1606	704.7853705
b1220	288	32.07250503
b1221	297	70.87450888
b1222	439	37.95168344
b1223	16	1.785645934
b1224	87	3.60992363
b1225	66	6.662234536
b1226	28	6.117909275
b1227	53	12.14397257
b1229	0	0
b1230	39	71.27878416
b1231	94	171.8001464
b1232	982	180.9666367
b1233	538	182.0892017
b1234	1806	309.6735766
b1235	1867	286.0361769
b1236	3307	565.1775643
b1237	36736	13784.97958
b1238	170	42.73414783
b1241	5948	345.3022852
b1242	529	126.8221957
b1243	27695	2636.305992
b1244	1825	307.8348894
b1245	2722	465.1990717
b1246	4816	737.841579
b1247	6110	944.4734418
b1248	326	153.4681514
b1249	1165	123.876895
b1250	387	47.94331176
b1251	624	326.3944325
b1252	525	113.2769139
b1253	106	41.27124512
b1254	910	261.7955344
b1255	775	161.8241627
b1256	46	11.1833412
b1257	31	9.498791091
b1258	9	2.790740052
b1259	68	58.68822969
b1260	918	176.7192046
b1261	1032	134.2733957
b1262	849	96.83786021
b1263	36	3.504162321
b1264	13	1.292108478
b1265	12	41.42698566
b1266	399	70.27792211
b1267	744	186.1212399
b1268	150	12.29044274
b1269	1938	343.6879204
b1270	276	72.54979723
b1271	396	81.05279804
b1272	1526	225.7770719
b1273	2208	1361.172386
b1274	8344	498.9416403
b1275	1683	268.1600649
b1276	3035	176.1924068
b1277	567	149.0425182
b1278	484	98.28755422
b1279	673	338.3538999
b1280	1163	154.4217446
b1281	618	130.0908391
b1282	79	37.53132875
b1283	582	412.8511242
b1284	876	181.4501972
b1285	346	27.06521344
b1286	1022	82.05112277
b1287	55	7.574748043
b1288	2610	513.8993944
b1289	143	62.75486176
b1290	286	55.05630994
b1291	385	60.23183338
b1292	151	26.32775604
b1293	148	23.80121847
b1294	538	50.83877346
b1295	350	221.0281247
b1296	550	61.64730009
b1297	2492	272.8225377
b1298	1122	227.8484211
b1299	1107	308.196728
b1300	1355	141.465639
b1301	656	79.55533546
b1302	555	68.1041974
b1303	178	28.2745531
b1304	553	128.414367
b1305	14	9.666296655
b1306	74	31.93330145
b1307	27	18.89406441
b1308	1681	829.0328917
b1309	14	1.294593302
b1310	6	0.720887222
b1311	8	1.409081145
b1312	18	3.317107393
b1313	25	3.688300006
b1314	12	2.362755836
b1315	36	5.296063508
b1316	66	4.520802007
b1317	7	1.647664202
b1319	2	0.342938623
b1320	110	17.10573732
b1321	2232	248.0285193
b1322	2225	325.4768471
b1323	1811	182.452021
b1324	7050	2160.208942
b1325	1606	258.2753842
b1326	472	100.5840393
b1327	79	13.32545549
b1328	188	32.45113877
b1329	825	79.40813934
b1330	119	17.91355848
b1331	3	0.458263116
b1332	1142	687.6397911
b1333	2566	419.1705253
b1334	3914	807.4961249
b1335	148	44.55809504
b1336	30	3.05208637
b1337	15	1.611526932
b1338	21	2.488463098
b1339	310	52.98005592
b1340	214	58.94531205
b1341	710	89.45608218
b1342	309	48.78406467
b1343	580	65.57765198
b1344	686	113.8578212
b1345	126	15.83677243
b1346	0	0
b1347	1	0.739767601
b1348	0	0
b1349	90	17.26124403
b1350	70	4.180924159
b1351	10	5.62866653
b1352	1	0.699780163
b1353	3	0.953074824
b1355	43	49.48223287
b1356	450	146.5577323
b1357	4	2.092272003
b1358	11	4.039865623
b1359	34	6.156108009
b1360	18	3.743402319
b1361	15	4.660535887
b1362	0	0
b1363	197	20.99052514
b1365	8	4.707612007
b1366	29	9.945220068
b1368	34	5.661244021
b1370	2	0.316720074
b1372	64	2.956430734
b1373	0	0
b1374	0	0
b1375	0	0
b1376	1911	682.4738759
b1377	19	2.602886004
b1378	649	28.60224861
b1379	126	46.27482441
b1380	161	25.26418444
b1381	237	13.94630057
b1382	0	0
b1383	76	36.10608842
b1384	235	40.29528821
b1385	441	45.67325169
b1386	43	2.937599577
b1387	25	1.898230648
b1388	9	1.503398673
b1389	0	0
b1390	10	2.079667955
b1391	13	4.055352512
b1392	24	3.481259299
b1393	6	1.213681221
b1394	12	2.362755836
b1395	46	5.004310243
b1396	10	3.672605112
b1397	707	91.07238453
b1398	821	97.06494072
b1399	772	126.11054
b1400	666	175.065815
b1402	2	0.342938623
b1403	1	0.42445682
b1404	0	0
b1406	546	98.51539273
b1407	124	8.350042624
b1408	4	1.025420437
b1409	5	0.865948697
b1410	106	9.367023209
b1411	111	13.3364136
b1412	174	44.60578902
b1413	2095	83.38733182
b1414	681	132.0776088
b1415	8076	871.2612922
b1418	1090	318.8941693
b1419	1083	966.9272731
b1420	9	8.322385513
b1421	217	20.54308933
b1422	2071	348.1951595
b1423	653	75.47941305
b1424	768	72.04693159
b1426	1919	1324.973091
b1427	267	76.81253592
b1428	157	24.8625258
b1429	211	33.01017362
b1430	243	63.5527621
b1431	939	218.0489884
b1432	1141	154.2695517
b1433	25	3.302533934
b1434	54	15.621908
b1435	269	21.29942497
b1436	20	13.45032002
b1438	148	55.13663559
b1439	408	45.04853452
b1440	1261	170.9405397
b1441	336	51.47731946
b1442	210	34.63243228
b1443	158	30.87482894
b1444	551	60.06912921
b1445	82	73.21148328
b1446	1296	860.4066253
b1447	125	43.15311007
b1448	206	61.6615538
b1449	268	40.10994277
b1450	1135	264.7501618
b1451	553	40.85079007
b1452	969	141.7469954
b1453	42	4.349833495
b1454	119	29.91390348
b1455	10	7.293483391
b1456	11	0.838911713
b1457	27	8.684228361
b1459	54	7.959169447
b1460	0	0
b1461	101	67.0532941
b1462	49	13.35475196
b1463	33	6.059798435
b1464	413	71.76738708
b1465	32	7.299909368
b1466	27	6.026555026
b1467	69	6.938014589
b1468	160	6.644263939
b1469	76	8.500137447
b1471	0	0
b1472	0	0
b1473	47	8.278351727
b1474	29	1.478078967
b1475	31	5.44168032
b1476	51	12.11454283
b1477	563	306.8867491
b1478	1018	156.4268227
b1479	2106	192.6793989
b1480	3493	3932.186438
b1481	0	0
b1482	1566	563.1480864
b1483	106	17.76399871
b1484	66	10.38822589
b1485	45	7.793538273
b1486	50	7.592922592
b1487	148	14.82396972
b1488	107	28.56113058
b1489	331	21.42551915
b1490	344	38.64122307
b1491	244	28.71643324
b1492	156	15.77785587
b1493	3	0.332657808
b1494	133	7.389738591
b1495	216	14.14069043
b1496	89	8.20062661
b1497	23	3.085559165
b1498	68	6.27681601
b1499	12	2.446475531
b1500	1	0.784602001
b1501	150	10.22047344
b1502	15	2.546740922
b1503	6	1.849419003
b1504	8	2.340507665
b1505	15	1.899158878
b1506	13	9.948598774
b1507	100	11.74234287
b1508	10	5.818396863
b1511	204	19.89431515
b1512	121	19.7038729
b1513	50	5.057005086
b1514	40	6.038919193
b1515	46	7.196530742
b1516	118	17.91929732
b1517	116	20.57161959
b1518	39	20.82026341
b1519	423	86.57912517
b1520	27	4.584133659
b1521	189	20.22133339
b1522	211	34.57711224
b1523	35	15.10358852
b1524	223	37.37143124
b1525	269	30.08601281
b1526	157	27.65321747
b1527	2	0.278407162
b1528	54	7.043631064
b1529	349	81.40775899
b1530	79	28.21320575
b1531	65	26.29642645
b1532	12	8.512394314
b1533	478	82.50874644
b1534	513	67.0834711
b1535	447	77.93713212
b1536	143	56.52728006
b1537	63	18.85765966
b1538	709	53.83382118
b1539	1407	292.6092813
b1540	1045	236.305677
b1541	69	52.54525755
b1542	94	9.99521728
b1544	0	0
b1545	0	0
b1546	0	0
b1547	6	0.967920226
b1548	0	0
b1549	0	0
b1550	278	248.2047848
b1551	357	355.5152375
b1552	3008	2193.879804
b1553	0	0
b1554	33	9.600354824
b1555	22	10.95425102
b1556	44	31.64561405
b1557	28761	20685.44331
b1558	743	541.905816
b1559	50	10.31548448
b1560	52	7.693583052
b1561	49	30.20717705
b1562	347	345.5568275
b1563	539	290.7440791
b1564	286	185.1268422
b1565	39	19.79966227
b1566	81	37.78812881
b1567	1	0.848913641
b1568	2	1.113628647
b1569	0	0
b1570	355	135.1707712
b1571	0	0
b1572	0	0
b1573	21	14.89669005
b1574	18	52.76078363
b1575	0	0
b1576	0	0
b1577	6	1.218440755
b1578	0	0
b1579	56	7.512665794
b1580	25	3.807627359
b1581	15	1.917916003
b1582	75	35.63100831
b1583	397	180.3345757
b1584	448	124.0594223
b1585	306	66.86000851
b1586	359	182.2584296
b1587	38	2.432363188
b1588	153	9.805582931
b1589	36	9.049584247
b1590	215	39.06492069
b1591	292	73.76024277
b1592	129	15.94296286
b1593	183	40.84665073
b1594	618	78.62984379
b1595	76	13.20658939
b1596	85	10.53018475
b1597	22	11.06060297
b1598	1151	217.5294731
b1599	34	16.00588082
b1600	113	47.9636207
b1601	63	9.456159771
b1602	1162	129.9626278
b1603	1130	114.5119711
b1604	821	134.966489
b1605	59	6.627419073
b1606	101	21.70189602
b1607	220	101.7180452
b1608	47	10.14098087
b1609	151	18.01692061
b1610	69	11.52605649
b1611	1781	197.0658693
b1612	7339	692.2419121
b1613	791	104.4921737
b1614	4068	418.7996463
b1615	25	3.06775664
b1616	36	4.070337019
b1617	51	4.372467444
b1618	612	160.8712895
b1619	868	175.5792166
