Gene_id	ETH_2_readcount	ETH_2_fpkm
b1656	2077	464.2254523
b1657	230	25.57157103
b1658	1136	144.0278265
b1659	158	22.028802
b1660	55	5.903037006
b1661	7812	884.4181408
b1662	503	101.9174134
b1663	596	56.42544115
b1664	2927	302.9025161
b1665	0	0
b1666	0	0
b1667	1162	493.9695038
b1668	965	78.2109773
b1669	25	4.000045204
b1670	26	4.30294939
b1671	16	3.111066548
b1672	27	5.420061251
b1673	16	0.989683082
b1674	0	0
b1675	54	33.44952086
b1676	7183	661.2704877
b1677	37489	20576.47354
b1678	2723	352.4495949
b1679	243	75.80287102
b1680	1606	171.0981498
b1681	2016	206.1668582
b1682	1090	189.8109804
b1683	2961	258.8516349
b1684	957	337.3657637
b1685	73	50.24310747
b1686	388	122.8019717
b1687	2200	93.61440434
b1688	841	98.29156899
b1689	7	2.550617059
b1690	1	0.107062938
b1691	1	0.102749976
b1692	1	0.150036298
b1693	151	25.87918574
b1694	4	0.326018722
b1695	6	0.677507656
b1696	40	5.705327633
b1697	5	0.850205686
b1698	30	4.155957509
b1699	28	2.823473768
b1700	4	1.769815919
b1701	28	2.211463971
b1702	9928	542.8536504
b1703	386	60.20557246
b1704	293	36.40293287
b1705	5	3.387538282
b1706	1422	128.7236259
b1707	74	13.48183303
b1708	321	89.79817608
b1709	125	21.680245
b1710	377	88.84187355
b1711	137	18.1663215
b1712	2039	884.1203913
b1713	4676	254.7156423
b1714	826	109.1944047
b1715	6	17.344196
b1716	8333	3036.327422
b1717	979	643.1806018
b1718	12346	2957.616628
b1719	8460	570.4972713
b1722	25	4.2846334
b1723	1330	186.0304894
b1724	735	328.5562903
b1725	2781	420.1586157
b1726	807	195.4855611
b1727	114	22.16634915
b1728	13	2.861352133
b1729	1888	176.4323387
b1730	7	1.132550112
b1731	11	5.888461606
b1732	6246	359.1904782
b1733	111	19.25205756
b1734	25	2.403574834
b1735	81	12.49893128
b1736	12	4.447229744
b1737	45	4.307333445
b1738	140	56.73335141
b1739	2279	874.500502
b1740	741	116.4134895
b1741	186	27.2467944
b1742	17	3.839210053
b1743	845	226.1704571
b1744	3074	412.6629916
b1745	4979	481.9015173
b1746	6200	545.3043368
b1747	2394	300.8840959
b1748	3007	320.3562493
b1749	321	51.74244347
b1750	0	0
b1751	10	1.918605753
b1752	35	6.430581145
b1753	49	11.61018585
b1754	107	11.92692142
b1755	107	9.061664904
b1756	28	5.569237249
b1757	154	15.31540243
b1758	125	26.18387078
b1759	38	12.11543103
b1760	62	29.54231187
b1761	700	67.75076564
b1762	14	1.749414582
b1763	1056	70.01326827
b1764	1844	229.7607574
b1765	485	114.2925959
b1766	966	67.66758215
