Gene_id	MMC_4_readcount	MMC_4_fpkm
b1650	360	51.38273311
b1651	265	101.7894462
b1652	428	103.510833
b1653	1338	45.41645994
b1654	2446	1101.524724
b1655	133	25.54338932
b1656	8300	2234.972317
b1657	560	75.01000697
b1658	1243	189.8632053
b1659	181	30.40282724
b1660	113	14.61143479
b1661	3204	437.0081327
b1662	965	235.56422
b1663	1010	115.1997885
b1664	1307	162.9511202
b1665	1	2.035290078
b1666	3	6.105870234
b1667	978	500.8808974
b1668	393	38.3737776
b1669	83	15.99943283
b1670	56	11.16561172
b1671	37	8.667475982
b1672	41	9.91575737
b1673	120	8.942501341
b1674	23	5.748801799
b1675	45	33.58228628
b1676	4975	551.7825524
b1677	64110	42393.03127
b1678	1047	163.2667172
b1679	152	57.12478434
b1680	676	86.76569953
b1681	599	73.80006624
b1682	325	68.18357992
b1683	684	72.03942058
b1684	181	76.8721892
b1685	899	745.4438363
b1686	146	55.67087848
b1687	1576	80.79375909
b1688	542	76.31697764
b1689	6	2.633904807
b1690	24	3.095651081
b1691	37	4.580206502
b1692	33	5.965019709
b1693	148	30.55884813
b1694	77	7.560924105
b1695	35	4.761377396
b1696	87	14.95000903
b1697	14	2.868029678
b1698	29	4.840045521
b1699	89	10.81228132
b1700	2	1.066104326
b1701	78	7.421950338
b1702	9484	624.7613344
b1703	472	88.69374411
b1704	357	53.43657015
b1705	12	9.7948335
b1706	2583	281.6985935
b1707	268	58.82387401
b1708	212	71.44962415
b1709	174	36.35842195
b1710	314	89.14718026
b1711	226	36.10409575
b1712	2892	1510.755119
b1713	2703	177.3898489
b1714	788	125.5012813
b1715	20	69.65214933
b1716	10479	4600.114745
b1717	2587	2047.61489
b1718	18452	5325.503285
b1719	24852	2019.045741
b1722	122	25.19040183
b1723	1368	230.5261458
b1724	239	128.7128636
b1725	1424	259.1933641
b1726	653	190.5706153
b1727	290	67.93427121
b1728	271	71.86192564
b1729	462	52.01394341
b1730	33	6.43242797
b1731	57	36.76085659
b1732	1260	87.2961288
b1733	285	59.55258768
b1734	115	13.32039441
b1735	136	25.28298659
b1736	41	18.30601361
b1737	247	28.48357762
b1738	264	128.889024
b1739	1250	577.8662832
b1740	848	160.5027789
b1741	2214	390.7344391
b1742	98	26.66371342
b1743	1012	326.3332182
b1744	442	71.48510063
b1745	724	84.42213635
b1746	1027	108.8226532
b1747	592	89.63928783
b1748	1358	174.3015088
b1749	631	122.5385861
b1750	17	3.747109299
b1751	20	4.622930265
b1752	36	7.968678101
b1753	33	9.420167737
b1754	100	13.42907763
b1755	83	8.468449797
b1756	34	8.14738444
b1757	188	22.52512169
b1758	339	85.5510095
b1759	70	26.88777823
b1760	47	26.98064026
b1761	808	94.21696985
b1762	168	25.29155855
b1763	2026	161.8294203
b1764	2693	404.2526684
b1765	764	216.9058781
b1766	1049	88.52799432
b1767	370	57.01613994
b1768	238	58.097704
b1769	85	9.802040883
b1770	139	28.70053979
b1771	62	9.904663437
b1772	40	6.612545823
b1773	15	2.808554408
b1774	40	6.004495632
b1775	58	6.586670643
b1776	74	10.76795066
b1777	544	312.2865596
b1778	916	346.7465695
b1779	17643	2776.068232
b1780	290	51.35370332
b1781	1078	197.5921499
b1782	1753	367.7717403
b1783	8414	681.4571912
b1784	3261	398.018094
b1785	88	9.343581008
b1786	329	34.58082062
b1787	342	106.3439066
b1788	20	29.85092114
b1789	110	38.56578738
b1790	102	19.44667673
b1791	69	9.148473929
b1792	314	141.4058721
b1793	165	101.4053351
b1794	868	132.5834772
b1795	727	457.5642701
b1796	9	7.707409967
b1797	11	4.788585266
b1798	79	19.37506971
b1799	301	51.05185945
b1800	249	35.93242787
b1801	74	8.02011263
b1802	23	3.203998869
b1803	43	6.976030484
b1804	985	136.8498014
b1805	1029	95.64776912
b1806	1014	273.043606
b1807	598	134.6508145
b1808	1560	127.9325192
b1809	688	312.5261657
b1810	444	231.9416573
b1811	397	345.6487911
b1812	183	21.05673457
b1813	114	30.85626305
b1814	10683	1226.528425
b1815	319	31.26505953
b1816	4217	424.4553667
b1817	1953	314.8857584
b1818	1261	246.7173042
b1819	1924	353.9015897
b1820	44	15.0230126
b1821	67	18.518627
b1822	503	97.31953087
b1823	3310	2470.163724
b1824	1459	1587.851342
b1825	482	262.2838748
b1826	33	35.9143895
b1827	927	183.4305183
b1828	203	23.15401689
b1829	3146	558.9940352
b1830	2814	215.2282008
b1831	2465	552.6584166
b1832	446	140.3532768
b1833	372	45.404088
b1834	615	36.59117754
b1835	51	5.55040565
b1836	715	472.7970263
b1837	167	136.3114329
b1838	266	63.45024562
b1839	178	81.56633277
b1840	235	42.18622447
b1841	293	122.4484785
b1842	64	43.41952166
b1843	252	60.11075901
b1844	304	71.85832601
b1845	674	51.25059896
b1846	2269	538.7752051
b1847	3196	1402.993294
b1848	6711	3614.192584
b1849	812	107.9342467
b1850	767	187.230836
b1851	339	29.31963405
b1852	1540	163.5126676
b1853	565	101.776201
b1854	2970	322.5575107
b1855	842	135.7571985
b1856	3246	384.5082938
b1857	5228	878.1545901
b1858	2818	584.1659429
b1859	1816	362.0848374
b1860	1708	264.7608406
b1861	1360	348.2607467
b1862	51	13.25470006
b1863	429	128.7964313
b1864	1165	246.3909533
b1865	590	204.1130866
b1866	3613	319.3568725
b1867	145	40.07762561
b1868	84	16.07357292
b1869	419	165.8196055
b1870	169	35.59842713
b1871	474	76.42388607
b1872	115	7.416664049
b1873	32	4.554908948
b1874	1662	348.6803379
b1875	211	58.31985519
b1876	1745	157.7115059
b1877	20	6.409706994
b1878	26	10.36806803
b1879	118	8.894971451
b1880	49	6.683332867
b1881	40	9.718904558
b1882	24	9.644143753
b1883	31	4.626892777
b1884	32	5.824569979
b1885	68	6.652171565
b1886	55	5.186193429
b1887	58	18.03493152
b1888	50	3.987718473
b1889	29	4.902699832
b1890	30	5.294504594
b1891	53	14.34545563
b1892	44	19.64547802
b1893	1	0.310947095
b1894	0	0
b1895	185	67.58206797
b1896	1055	116.0258172
b1897	772	151.043425
b1900	80	8.275502891
b1901	142	22.47864819
b1902	383	119.0927375
b1904	14	6.77173674
b1905	527	165.8434459
b1906	45	29.3845005
b1907	156	20.1715383
b1908	2114	497.4481206
b1909	6	10.80809214
b1910	0	0
b1911	41	84.54487863
b1912	1008	287.7433054
b1913	1114	95.24446934
b1914	741	176.7542557
b1915	144	100.299095
b1916	166	35.98212694
b1917	287	59.73157428
b1918	150	35.13841614
b1919	445	70.65776547
b1920	488	95.47822717
b1921	34	9.652879391
b1922	15	3.2649445
b1923	480	50.25004761
b1924	42	4.678129433
b1925	8	3.050459095
b1926	8	3.425515541
b1927	1306	137.5489522
b1928	793	300.1856218
b1929	252	32.74690603
b1930	14	9.376250871
b1931	67	15.69515921
b1932	36	11.7538002
b1936	17	16.44564637
b1937	21	10.4478224
b1938	69	6.518080882
b1939	51	8.024682867
b1940	21	4.790486253
b1941	38	4.334249467
b1942	8	2.823735784
b1943	15	2.084007128
b1944	10	3.37026529
b1945	31	4.83406708
b1946	14	5.299620058
b1947	3	1.284568328
b1948	9	1.911187024
b1949	6	3.482607467
b1950	18	3.588946626
b1951	44	11.05058138
b1952	84	69.65214933
b1953	1116	767.0901183
b1954	21	37.82832248
b1955	1336	256.5862266
b1956	568	52.51648781
b1957	105	89.91978295
b1958	494	84.33372983
b1959	382	65.00111004
b1960	128	42.58984927
b1961	1000	110.4420972
b1962	371	83.53754548
b1963	58	24.83498767
b1967	3323	611.2343985
b1968	120	13.83817536
b1969	150	34.98154821
b1970	11	4.163987188
b1971	536	83.5825792
b1972	81	19.95928336
b1973	371	89.31203019
b1974	62	18.29844601
b1975	81	141.0456024
b1976	1906	374.3148401
b1977	42	86.60694884
b1978	525	11.62591513
b1981	240	28.55896783
b1982	883	95.10749669
b1983	453	99.01388174
b1984	21	43.30347442
b1985	251	26.43551837
b1986	75	154.6552658
b1987	72	11.8650349
b1988	70	11.95012366
b1989	15	30.93105316
b1990	630	105.8219954
b1991	221	32.06901042
b1992	64	13.48106116
b1993	112	32.14714584
b1994	2	0.308195351
b1996	10	1.72977192
b1997	0	0
b1999	51	14.47931909
b2000	260	13.059778
b2001	97	9.916230653
b2002	15	5.258971006
b2003	2	1.411867892
b2004	7	2.972957593
b2005	2	0.835825792
b2006	39	36.38081014
b2007	2498	1186.302743
b2008	2089	309.1430736
b2009	5300	1752.324643
b2010	246	33.03553098
b2011	816	89.55276342
b2012	36	24.74484253
b2013	110	16.27847683
b2014	442	50.97061259
b2015	526	88.63797713
b2016	1665	316.2840781
b2017	74	46.02017009
b2018	0	0
b2019	199	34.65194429
b2020	220	26.41978078
b2021	172	25.16842371
b2022	204	29.93477204
b2023	61	16.1755626
b2024	121	25.69484777
b2025	125	25.21192664
b2026	141	36.10644506
b2027	5725	914.5838416
b2028	203	27.2610276
b2029	3391	377.7032597
b2030	0	0
b2032	491	68.76515815
b2033	162	42.95805149
b2034	449	70.86211869
b2035	394	52.91056588
b2036	612	86.87591452
b2037	466	58.51785142
b2038	154	43.25173789
b2039	476	84.5776099
b2040	564	98.20953056
b2041	1160	167.3960495
b2042	3607	632.303614
b2043	75	8.425663225
b2044	121	15.53054681
b2045	29	3.547855382
b2046	131	13.88098108
