Gene_id	PME_1_readcount	PME_1_fpkm
b3005	236	86.1960733
b3006	456	96.5300612
b3008	431	56.44765535
b3009	2202	519.1088787
b3010	67	10.89301102
b3011	271	36.22441566
b3012	4272	802.7604822
b3013	46	7.720815518
b3014	13	7.839867526
b3017	767	84.45751131
b3018	288	60.71852373
b3019	1025	70.59805112
b3020	213	20.61003062
b3021	244	95.86933577
b3022	214	112.1094965
b3023	325	104.6938831
b3024	10371	4105.945324
b3025	56	13.20167902
b3026	145	16.71164924
b3027	2	0.934481784
b3028	104	27.80324154
b3029	1478	730.0438693
b3030	1055	86.71354147
b3031	330	88.22182411
b3032	1526	286.7538614
b3033	116	42.66804061
b3034	253	62.48345701
b3035	5844	613.5459329
b3037	3652	845.5641737
b3038	2668	357.5515651
b3039	90	17.74804757
b3040	785	157.8024617
b3041	2495	593.578114
b3042	578	309.0437232
b3043	5	1.409340734
b3044	0	0
b3045	0	0
b3046	14	0.882250725
b3047	1	0.207454956
b3048	2	0.292190079
b3049	1965	1521.078316
b3050	163	40.25614029
b3051	191	17.88081977
b3052	827	89.7307786
b3053	1172	64.18616909
b3054	392	46.8446675
b3055	684	171.3758333
b3056	2271	285.1877756
b3057	152	28.7711253
b3058	32	13.49300527
b3059	274	68.98380821
b3060	51	8.504986142
b3061	8	1.364835237
b3062	0	0
b3063	4	0.425112615
b3064	713	109.4048696
b3065	4950	3565.632058
b3066	2115	188.473897
b3067	9528	804.8171098
b3068	630	193.3381987
b3069	0	0
b3070	42	8.542262898
b3071	136	33.91090628
b3072	187	19.12922919
b3073	3605	406.4538678
b3074	136	63.54476132
b3075	537	84.91106053
b3076	420	21.12780833
b3077	20	6.915165203
b3078	25	2.712538652
b3079	2	0.29055316
b3080	37	2.447650949
b3081	2885	222.3282126
b3082	37	13.80545571
b3083	8	3.951522973
b3084	434	59.39013914
b3085	90	27.7841459
b3086	5	1.122591754
b3087	1427	224.9530565
b3088	275	44.29356593
b3089	833	104.1023966
b3090	53	14.93901178
b3091	211	22.06300188
b3092	341	37.54890659
b3093	499	59.76906645
b3094	1398	279.9440431
b3095	1114	261.4307931
b3096	227	91.97709967
b3097	5642	2378.985492
b3098	2035	1034.73244
b3099	3965	1523.257224
b3100	4096	2124.33875
b3101	135	53.44736464
b3102	2251	354.8488649
b3103	908	386.0022544
b3104	9	3.922467657
b3105	304	52.73102563
b3106	38	8.422316593
b3107	296	279.1212136
b3110	121	14.13403699
b3113	22	8.77694045
b3114	100	6.779573728
b3115	60	7.721648489
b3116	245	28.61850464
b3117	391	61.4506726
b3118	956	158.4080975
b3119	0	0
b3120	1	0.288131883
b3121	4	0.523876152
b3123	111066	45837.91542
b3124	156	21.17995625
b3125	173	30.41500627
b3126	20	4.03608864
b3127	23	2.680597747
b3128	231	22.86359487
b3129	150	69.46036476
b3130	209	69.93239649
b3131	400	76.83516892
b3132	28	3.400900919
b3133	21	6.893281769
b3134	11	4.564009034
b3135	54	15.1386049
b3136	0	0
b3137	4	0.722839568
b3138	0	0
b3139	1	0.193521414
b3140	3	0.589360671
b3141	4	0.823233953
b3142	6	1.595807354
b3143	1	0.223550599
b3144	32	1.978116387
b3145	66	9.403864768
b3146	217	39.21404658
b3147	1076	82.1876041
b3148	70	27.50349797
b3149	389	102.4111395
b3150	596	160.9936899
b3151	285	42.59701908
b3152	421	102.9935572
b3153	2168	649.945585
b3154	207	72.5391485
b3155	86	44.16120352
b3156	1002	309.3301577
b3157	1080	320.0733608
b3158	151	23.58862829
b3159	68	12.03663568
b3160	626	96.6270852
b3161	328	40.99109976
b3162	8953	737.0413579
b3163	10440	1835.448933
b3164	8304	604.882709
b3165	4769	2748.201904
b3166	1008	165.9639649
b3167	593	229.5163973
b3168	7721	449.4275297
b3169	3509	366.9150408
b3170	1021	350.6813082
b3171	56	113.1572488
b3172	1079	124.9128893
b3173	70	6.698268877
b3174	3	5.365214381
b3175	2137	998.4937864
b3176	1511	175.7087661
b3177	183	33.53732947
b3178	13015	1046.521804
b3179	4651	1148.658334
b3180	704	372.572166
b3181	690	225.0690561
b3182	427	46.33016017
b3183	1991	264.0938731
b3184	1006	162.0339176
b3185	2369	1428.66509
b3186	2973	1482.60477
b3187	2141	342.716868
b3188	96	53.53676286
b3189	1074	132.6229898
b3190	252	153.7607322
b3191	412	218.0393926
b3192	1644	402.1886177
b3193	444	125.1494572
b3194	639	126.9767404
b3195	1052	202.0764943
b3196	430	68.40922632
b3197	753	118.7033297
b3198	687	188.5205752
b3199	558	150.7289915
b3200	612	170.6484316
b3201	902	193.3103
b3202	2941	319.103047
b3203	580	313.3434233
b3204	1509	477.2096475
b3205	1457	265.1419921
b3206	84	47.87422063
b3207	9125	2242.922363
b3208	131	27.95946425
b3209	414	98.49352273
b3210	1292	86.01790862
b3211	91	15.22451694
b3212	817	28.49541007
b3213	388	42.54361679
b3214	9	1.830484907
b3215	1	0.230505507
b3216	90	5.87876135
b3218	2	0.305980761
b3219	27	5.859083488
b3220	68	9.379612376
b3221	269	90.00868256
b3222	373	66.25059813
b3223	270	60.88351972
b3224	450	46.95911984
b3225	196	34.11172097
b3226	824	161.8777309
b3227	17	1.933516586
b3228	821	256.5068056
b3229	2539	618.2255088
b3230	5868	2323.178783
b3231	7427	2693.650278
b3232	460	63.45031901
b3233	2169	845.8078943
b3234	1074	122.1527537
b3235	447	65.1210431
b3236	16842	2790.699976
b3237	467	154.2698479
b3238	662	390.156764
b3239	305	173.8290154
b3240	94	7.431694311
b3241	68	11.33998152
b3242	11	8.389722489
b3243	446	74.61686324
b3244	3017	324.6325739
b3247	692	73.24430082
b3248	271	70.98521856
b3249	121	38.50007621
b3250	632	89.07033441
b3251	2183	325.3406387
b3252	978	78.39681107
b3253	1098	175.2196475
b3255	1439	475.3625506
b3256	2415	278.3353994
b3257	23	14.72674071
b3258	200	21.43129712
b3259	496	87.49800869
b3260	2675	430.8555959
b3261	454	237.8397729
b3262	15	2.637139272
b3263	13	11.23714345
b3264	2	0.469355104
b3265	3	0.403086055
b3266	144	7.215824559
b3267	171	119.8472888
b3268	96	14.5724457
b3269	21	2.764310963
b3270	18	2.536813322
b3271	21	4.304895334
b3272	0	0
b3273	0	0
b3274	0	0
b3275	0	0
b3276	0	0
b3277	0	0
b3278	0	0
b3279	369	103.4471335
b3280	159	95.88761052
b3281	787	149.511951
b3282	410	111.3305393
b3283	601	172.2105367
b3284	1226	402.4363547
b3287	2949	899.6833316
b3288	3674	602.998029
b3289	2445	294.8996323
b3290	1049	118.5295473
b3291	1019	385.7602194
b3292	220	80.35227172
b3293	247	104.1491345
b3294	4695	1902.34574
b3295	14490	2277.289632
b3296	8102	2029.951756
b3297	3772	1504.846335
b3298	4838	2108.544281
b3299	1418	1885.712357
b3300	21617	2525.086591
b3301	6735	2408.981257
b3302	21	18.15230866
b3303	5832	1800.412655
b3304	2382	1046.944291
b3305	6853	1996.753952
b3306	4506	1783.95426
b3307	4530	2303.360174
b3308	9984	2876.708724
b3309	2858	1411.681582
b3310	10374	4338.987327
b3311	1575	961.004576
b3312	71	57.53633548
b3313	3716	1406.7566
b3314	10352	2294.416352
b3315	2465	1151.748799
b3316	1138	634.6337097
b3317	9623	1821.477228
b3318	1322	678.8501286
b3319	5234	1343.835693
b3320	9480	2341.277362
b3321	8098	4038.389986
b3322	19	7.038650296
b3323	21	2.222731672
b3324	12	2.288106133
b3325	30	2.390034056
b3326	5	0.52493663
b3327	6	0.77990585
b3328	1	0.355231089
b3329	2	0.610161636
b3330	0	0
b3331	5	1.323054567
b3332	4	0.632484622
b3333	12	1.604033166
b3334	6	2.020665157
b3335	42	9.638393977
b3336	5410	1764.671875
b3337	62	49.47002799
b3338	298	17.21090671
b3339	184	24.15931134
b3340	35744	2629.528351
b3341	5450	1570.318765
b3342	7595	3151.240783
b3343	75	40.51854611
b3344	59	25.49967169
b3345	144	57.89440635
b3346	570	122.6652749
b3347	2325	444.9564326
b3348	187	132.8564274
b3349	3928	1034.115568
b3350	325	27.99952688
b3351	167	46.81753739
b3352	527	42.84042392
b3353	177	26.92047451
b3354	28	19.89294099
b3355	349	62.4153273
b3356	715	274.6857289
b3357	6429	1580.246342
b3358	768	56.8207583
b3359	151	19.24182946
b3360	329	90.76154329
b3361	1808	466.5156226
b3362	11	10.18752016
b3363	985	267.4648321
b3364	68	8.951102166
b3365	89	5.443246194
b3366	2	0.951628239
b3367	7	1.349614027
b3368	313	35.44399632
b3369	3	2.77841459
b3370	8	0.930291283
b3371	40	6.083723052
b3374	30	5.938596071
b3375	219	46.54983133
b3376	51	7.306769862
b3377	23	2.742220684
b3378	2	0.879046424
b3379	18	3.186168267
b3380	7	0.887643455
b3381	11	1.470363735
b3382	32	13.71603015
b3383	145	24.9014641
b3384	1139	176.3367127
b3385	454	93.06773722
b3386	433	99.36725219
b3387	390	72.49769971
b3388	3424	413.9427562
b3389	2613	373.3331958
b3390	1606	478.6963498
b3391	33	4.144075999
b3392	1	0.384175845
b3393	6	2.116887307
b3394	11	3.169450718
b3395	48	9.574844127
b3396	509	31.02073227
b3397	794	220.2128812
b3398	1330	96.88029901
b3399	533	123.9613134
b3400	339	131.2075189
b3401	1377	243.7418725
b3402	326	29.40448508
b3403	5912	566.7623384
b3404	681	78.31309595
b3405	1237	267.3143549
b3406	199	64.91122054
b3407	532	35.64794465
b3408	270	184.252757
b3409	1429	95.75359569
b3410	36	23.63410892
b3411	51	9.027476758
b3412	241	48.63486811
b3413	303	68.92417949
b3414	1077	290.9231611
b3415	198	23.39184585
b3416	1650	123.1297401
b3417	1147	74.54600082
b3418	5652	324.9820986
b3421	207	26.24888503
b3422	67	6.519456875
b3423	184	37.76884425
b3424	205	38.38291155
b3425	62	29.50047541
b3426	880	90.91651462
b3427	43	30.54987367
b3428	7334	466.1380662
b3429	5191	563.2315256
b3430	3518	422.3533192
b3431	3592	283.1224173
b3432	4763	338.8573237
b3433	2374	334.5774903
b3434	166	43.48172059
b3437	34	10.0191314
b3438	975	152.3106794
b3439	664	148.4375979
b3440	882	132.2075659
b3441	118	37.54552886
b3442	2	0.263937603
b3443	1	0.314325691
b3444	0	0
b3445	0	0
b3446	32	17.46989104
b3447	1995	178.0863328
b3448	3900	1375.97675
b3449	792	165.6293601
b3450	929	134.9619427
b3451	139	25.56404157
b3452	110	19.2736868
b3453	555	65.56805275
b3454	15	3.268723048
b3455	14	2.836298228
b3456	42	5.113326382
b3457	9	1.51059434
b3458	24	3.364134423
b3459	315	127.6334202
b3460	80	11.27472587
b3461	8953	1629.249317
b3462	768	112.83669
