gene_id,ceftazidime_2,ceftazidime_3,ceftazidime_4,control_2,control_3,control_4,kanamycin_2,kanamycin_3,kanamycin_4
b2984,4,1,2,2,2,0,39,41,74
b2985,3,3,5,4,1,1,36,54,62
b2986,5,3,2,0,0,0,40,47,55
b2987,10,13,29,11,19,14,147,165,184
b2988,1139,1344,1612,1454,1313,1316,474,564,576
b2989,1108,1489,1373,1505,1652,1641,350,448,371
b2990,27,30,100,28,49,24,93,97,75
b2991,23,14,33,14,14,9,29,38,34
b2992,87,77,251,50,64,54,201,244,298
b2993,150,125,445,98,110,85,280,265,305
b2994,595,559,1247,297,318,361,606,682,720
b2995,218,198,319,120,132,106,134,144,105
b2996,381,352,433,222,235,227,135,199,182
b2997,986,947,1030,664,679,651,520,615,461
b2998,4,4,4,2,6,4,10,10,18
b3001,824,1013,1304,2185,1844,2021,636,798,664
b3002,609,725,616,173,190,191,513,608,689
b3003,401,637,318,641,725,784,134,137,146
b3005,452,628,758,630,537,509,483,537,620
b3006,756,837,1286,971,797,737,561,623,746
b3008,321,447,683,738,449,603,84,114,104
b3009,1598,2091,2900,1994,2323,2010,495,654,573
b3010,24,33,46,32,68,53,397,455,476
b3011,172,205,272,418,482,528,197,226,219
b3012,792,1345,959,1576,2123,2074,48,58,38
b3013,31,24,30,27,32,13,29,42,54
b3014,9,11,12,10,11,6,29,29,38
b3017,807,972,1101,1044,1038,982,1622,1937,1844
b3018,251,372,281,296,298,206,477,557,546
b3019,1822,2080,1944,1465,1533,1406,5266,6128,6332
b3020,200,219,204,300,295,241,5687,6883,6833
b3021,171,219,195,165,207,221,2990,3440,3622
b3022,99,89,99,102,163,142,1257,1363,1347
b3023,152,175,76,156,254,179,48,48,54
b3024,4868,6188,4472,6229,8943,8456,232,278,228
b3025,77,98,98,87,71,69,164,192,182
b3026,93,91,155,119,139,113,251,345,362
b3027,6,3,6,4,4,4,45,58,76
b3028,105,104,94,193,175,179,100,102,115
b3029,1276,1523,1835,1823,2049,1885,580,723,623
b3030,1296,1645,1668,1115,1111,990,1710,2059,2001
b3031,361,359,498,538,491,577,397,446,479
b3032,1620,1946,2468,3067,2492,2763,1606,1980,1863
b3033,82,142,121,72,80,73,79,85,118
b3034,289,302,461,187,232,183,213,259,254
b3035,5011,5888,6314,3330,3662,3327,637,781,802
b3037,4026,4530,5008,3507,3853,3601,884,1085,1061
b3038,3220,3890,3988,2700,2984,2517,517,548,569
b3039,78,109,153,123,150,112,162,271,238
b3040,659,859,991,1202,1268,1214,611,753,805
b3041,1835,2048,2243,3079,2279,2706,1070,1401,1240
b3042,557,724,953,422,438,487,93,116,122
b3043,8,8,3,0,1,1,14,16,18
b3044,0,0,0,0,0,0,0,0,0
b3045,0,0,0,0,0,0,0,0,0
b3046,9,7,19,6,10,5,74,117,145
b3047,1,1,1,0,0,0,4,7,10
b3048,11,9,1,6,1,5,19,40,37
b3049,803,1058,811,1347,2339,2088,279,421,167
b3050,477,606,542,59,76,96,145,218,167
b3051,1105,1271,1406,104,92,72,165,227,209
b3052,652,911,609,779,894,814,622,708,717
b3053,688,970,718,1565,1692,1462,641,754,761
b3054,311,384,369,546,638,585,411,505,463
b3055,821,1044,1046,363,268,290,952,1293,1320
b3056,1094,1377,1509,1978,2039,1774,1622,1986,2120
b3057,171,212,226,145,215,153,811,944,964
b3058,68,58,63,32,42,40,179,209,237
b3059,302,356,484,272,268,203,224,305,290
b3060,54,60,77,39,41,33,103,100,99
b3061,3,8,4,0,2,4,74,83,103
b3062,6,3,6,1,7,3,23,39,42
b3063,10,8,13,9,21,16,66,83,100
b3064,770,875,827,606,509,426,1020,1213,1346
b3065,6661,7080,6867,2128,2322,1692,2213,2273,2746
b3066,1790,2279,2476,1133,1405,1061,2064,2585,2906
b3067,4259,5928,7393,5528,6592,5483,10095,11457,14639
b3068,358,432,411,594,779,731,741,754,787
b3069,2,4,0,2,0,0,6,11,11
b3070,75,77,44,78,80,64,230,291,343
b3071,64,65,44,108,143,142,421,482,526
b3072,219,254,173,100,180,121,2218,2470,2556
b3073,784,1250,555,2538,3184,2441,241,328,294
b3074,41,27,117,108,129,88,63,74,91
b3075,706,908,1040,519,403,440,238,300,265
b3076,123,113,137,243,207,172,182,273,259
b3077,26,19,19,16,20,20,13,14,16
b3078,17,20,30,31,33,19,76,95,101
b3079,0,2,2,0,4,1,28,39,21
b3080,34,24,48,22,41,22,215,244,337
b3081,1473,1811,1173,1775,1968,1298,1678,2018,1717
b3082,37,27,40,39,31,30,375,400,390
b3083,13,8,16,4,8,5,96,120,92
b3084,643,801,616,176,159,125,513,529,539
b3085,78,80,91,102,89,117,28,39,35
b3086,3,7,7,5,6,4,43,36,50
b3087,1419,1760,2082,2995,2457,2673,584,693,587
b3088,300,368,376,79,244,101,613,722,1075
b3089,780,889,557,826,935,669,1156,1478,1409
b3090,46,44,74,29,35,27,68,81,89
b3091,289,261,292,304,252,318,463,525,524
b3092,334,331,422,401,308,409,661,771,788
b3093,244,334,345,336,449,358,1874,2188,2246
b3094,1441,1954,2548,1738,1839,1970,2330,2649,2648
b3095,1070,1425,1823,571,777,637,780,832,826
b3096,285,354,398,104,181,120,165,183,221
b3097,2005,2858,1720,2034,2959,2626,158,221,171
b3098,650,1131,586,813,1401,1113,155,177,141
b3099,1463,2214,1251,1805,2811,2405,299,363,288
b3100,1375,2147,1349,1992,2885,2484,302,377,331
b3101,52,82,89,67,69,61,84,81,108
b3102,358,663,371,844,1243,1064,111,119,124
b3103,229,293,211,432,678,579,213,274,239
b3104,8,3,10,5,3,4,36,47,37
b3105,350,415,423,266,253,174,654,783,831
b3106,31,38,23,57,63,44,45,41,44
b3107,343,369,341,328,270,266,106,120,102
b3110,62,38,69,38,24,41,891,1415,1279
b3113,140,133,813,22,14,11,41,34,58
b3114,681,797,5014,283,96,133,306,335,437
b3115,230,257,1447,318,123,198,55,66,97
b3116,494,498,3030,1228,486,570,131,126,208
b3117,294,325,1283,1268,525,595,91,78,109
b3118,186,249,718,1755,658,600,57,44,50
b3119,0,0,0,1,0,1,0,0,4
b3120,1,0,2,5,0,1,2,3,2
b3121,1,3,2,0,2,0,1,9,6
b3123,192134,236410,164663,135243,189008,148730,850642,1013122,768495
b3124,101,112,73,132,161,137,157,188,159
b3125,110,143,68,111,118,130,94,100,128
b3126,26,37,28,28,48,27,22,28,31
b3127,53,46,41,24,30,20,22,52,48
b3128,151,173,185,247,284,224,240,324,270
b3129,78,96,170,166,199,237,313,354,357
b3130,110,134,254,275,282,274,1522,1551,1421
b3131,416,504,764,623,670,553,695,816,894
b3132,16,15,24,55,47,50,95,109,96
b3133,19,25,8,40,47,54,11,13,9
b3134,1,9,6,20,12,27,13,20,16
b3135,35,34,23,72,89,112,49,79,72
b3136,2,1,5,6,1,4,25,29,36
b3137,3,0,4,4,7,4,15,19,25
b3138,1,1,0,0,0,0,4,4,7
b3139,2,3,5,1,1,0,34,42,53
b3140,2,4,12,2,9,4,28,38,40
b3141,5,1,2,2,3,0,16,24,33
b3142,4,11,9,4,4,2,43,57,60
b3143,0,3,0,0,0,0,5,6,4
b3144,36,22,51,20,22,22,112,145,174
b3145,45,61,66,56,42,46,126,125,131
b3146,233,302,317,148,175,153,202,274,256
b3147,1067,1306,1444,1188,1373,1140,828,1061,1098
b3148,44,53,42,59,69,62,16,26,9
b3149,417,517,409,405,423,341,398,388,430
b3150,574,664,490,509,508,386,699,709,782
b3151,165,221,273,158,199,141,1246,1380,1500
b3152,173,217,231,297,365,346,265,333,284
b3153,180,234,158,454,460,485,38,48,45
b3154,169,226,315,146,142,125,275,385,325
b3155,59,66,83,40,43,47,182,224,263
b3156,1095,1419,2400,1702,1263,1581,947,1154,1230
b3157,1288,1662,2759,1875,1432,2026,734,872,759
b3158,92,88,79,91,63,66,34,53,48
b3159,59,64,61,72,45,64,59,101,62
b3160,342,331,235,259,367,248,104,119,111
b3161,501,1600,2417,4578,6809,10167,637,750,787
b3162,8076,11736,13726,6431,7890,5798,10117,10876,12981
b3163,11492,15495,19535,9591,10532,8750,3059,3743,3391
b3164,14690,17586,15790,10365,11367,9980,8993,10882,12050
b3165,6432,7792,6633,3482,3678,3078,2836,3156,3778
b3166,973,1370,1218,802,1063,833,1757,1902,2148
b3167,521,862,669,613,789,736,911,1019,1002
b3168,8781,12319,8264,8610,10227,8859,14887,16709,17945
b3169,4213,5295,4164,2963,3468,2775,4766,5659,6302
b3170,986,1264,1180,702,820,606,590,729,874
b3171,49,52,56,31,49,42,71,59,126
b3172,318,504,386,520,683,566,451,575,590
b3173,16,28,37,22,31,33,149,185,194
b3174,0,2,1,1,4,2,5,12,13
b3175,2959,3550,3777,1011,1006,1020,2119,1976,3531
b3176,2051,2363,1940,1598,1654,1564,2227,2569,2643
b3177,177,216,166,140,180,174,278,331,323
b3178,8098,10720,13929,12361,16707,12093,29340,31645,38619
b3179,2510,3562,6160,3535,4709,3406,3833,4214,5100
b3180,1213,1178,1135,535,588,496,198,183,203
b3181,446,744,859,428,490,410,385,460,538
b3182,322,356,334,301,290,218,215,279,259
b3183,1056,1561,1298,1994,2465,1780,6581,6924,7267
b3184,644,896,861,749,958,583,3252,3568,4179
b3185,2169,2722,2723,1115,1151,731,2120,2203,2496
b3186,3270,4120,3903,1192,1216,922,1491,1638,1640
b3187,1996,2607,2805,1902,1876,1713,1455,1574,1758
b3188,118,134,128,37,49,45,75,105,84
b3189,1167,1490,1253,962,1004,887,1419,1657,1757
b3190,255,276,256,120,123,88,102,121,144
b3191,251,326,232,269,341,293,240,272,315
b3192,928,1269,1059,1027,1116,1120,886,988,958
b3193,266,336,289,297,442,311,533,579,593
b3194,400,458,577,448,610,405,1462,1621,1614
b3195,645,893,912,629,700,593,1871,2226,2327
b3196,336,385,437,304,367,312,650,772,813
b3197,610,824,1028,564,590,573,907,1020,1100
b3198,481,590,677,494,704,531,648,714,793
b3199,364,456,506,429,513,458,134,151,177
b3200,412,535,435,528,656,516,447,528,567
b3201,530,702,538,736,926,728,571,743,707
b3202,1857,2466,2395,3001,3570,2949,1051,1381,1332
b3203,678,1087,878,497,477,375,82,112,89
b3204,921,1231,1128,1273,1337,1373,263,352,307
