test_group,comparison,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,index,log10_padj,Dbxref,Name,gbkey,gene_biotype,gene_synonym
aminoglycoside,imported_candidate_results,gabP,b2663,311.2,2.287,4.881,2.391e-10,3.122e-08,gene-b2663,7.506,"ASAP:ABE-0008763,ECOCYC:EG11330,GeneID:948049",gabP,Gene,protein_coding,ECK2657
aminoglycoside,imported_candidate_results,mhpR,b0346,319.2,2.283,4.867,7.196e-13,2.076e-10,gene-b0346,9.683,"ASAP:ABE-0001191,ECOCYC:G6201,GeneID:945938",mhpR,Gene,protein_coding,ECK0343
aminoglycoside,imported_candidate_results,ydcT,b1441,93.25,2.265,4.808,2.15e-07,1.048e-05,gene-b1441,4.979,"ASAP:ABE-0004805,ECOCYC:G6752,GeneID:946007",ydcT,Gene,protein_coding,ECK1435
aminoglycoside,imported_candidate_results,cycA,b4208,3639.0,2.252,4.763,4.664e-12,9.408e-10,gene-b4208,9.026,"ASAP:ABE-0013764,ECOCYC:EG12504,GeneID:948725",cycA,Gene,protein_coding,"dagA,ECK4204,ytfD"
aminoglycoside,imported_candidate_results,ddpD,b1484,160.5,2.236,4.71,1.175e-05,0.0002864,gene-b1484,3.543,"ASAP:ABE-0004949,ECOCYC:G6778,GeneID:946002",ddpD,Gene,protein_coding,"ECK1478,yddP"
aminoglycoside,imported_candidate_results,amtB,b0451,2765.0,2.233,4.7,0.0004488,0.006035,gene-b0451,2.219,"ASAP:ABE-0001564,ECOCYC:EG11821,GeneID:945084",amtB,Gene,protein_coding,"ECK0445,ybaG"
aminoglycoside,imported_candidate_results,rutG,b1006,126.7,2.23,4.693,1.6e-16,8.878e-14,gene-b1006,13.05,"ASAP:ABE-0003401,ECOCYC:G6517,GeneID:946589",rutG,Gene,protein_coding,"ECK0997,ycdG"
aminoglycoside,imported_candidate_results,yobD,b1820,522.7,2.225,4.675,2.546e-07,1.165e-05,gene-b1820,4.934,"ASAP:ABE-0006062,ECOCYC:G6998,GeneID:946343",yobD,Gene,protein_coding,ECK1818
aminoglycoside,imported_candidate_results,aphA,b4055,1307.0,2.209,4.624,0.0002537,0.003692,gene-b4055,2.433,"ASAP:ABE-0013283,ECOCYC:EG11934,GeneID:948562",aphA,Gene,protein_coding,"ECK4047,hobH,yjbP"
aminoglycoside,imported_candidate_results,fadH,b3081,243.5,2.209,4.625,1.213e-07,6.567e-06,gene-b3081,5.183,"ASAP:ABE-0010124,ECOCYC:G36,GeneID:947594",fadH,Gene,protein_coding,"ECK3071,ygjL"
