antibiotic_class,treatment,comparison,regulation,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,signal_strength,padj_source
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,mglC,b2148,3031.0,2.605,6.084,5.162e-07,2.083e-05,12.194814451786122,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,glpA,b2241,1410.0,2.88,7.362,1.702e-06,6.09e-05,12.14030219721732,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,rutB,b1011,48.67,3.12,8.694,5.071e-06,0.0001407,12.017322416003594,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,glpC,b2243,1446.0,2.811,7.015,1.7e-06,6.09e-05,11.849440790408988,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,fadB,b3846,1266.0,2.045,4.128,2.167e-08,1.63e-06,11.836076348993906,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,ynjH,b1760,177.0,1.931,3.814,8.588e-09,7.623e-07,11.813614848924068,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,ygeQ,b2863,307.6,-1.992,0.2514,2.008e-08,1.57e-06,11.561767892400805,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,fadH,b3081,243.5,2.209,4.625,1.213e-07,6.567e-06,11.448436261020705,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,ybfA,b0699,151.1,-1.939,0.2608,1.673e-08,1.428e-06,11.333982005773539,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,lhgD,b2660,828.7,2.18,4.533,1.188e-07,6.508e-06,11.30668435350269,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,yqeB,b2875,83.37,2.424,5.367,5.548e-07,2.199e-05,11.290446044029443,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,downregulated,marB,b1532,461.6,-2.167,0.2227,1.114e-07,6.178e-06,11.288232592106908,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,ydcT,b1441,93.25,2.265,4.808,2.15e-07,1.048e-05,11.27888169480294,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,mglB,b2150,6061.0,2.174,4.514,1.272e-07,6.662e-06,11.253483537955887,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,ptsG,b1101,16620.0,2.458,5.496,6.822e-07,2.666e-05,11.243235763398669,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,yobD,b1820,522.7,2.225,4.675,2.546e-07,1.165e-05,10.977424816069467,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,downregulated,pspD,b1307,82.55,-2.573,0.168,1.565e-06,5.7e-05,10.920133996354679,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,malT,b3418,9128.0,2.829,7.105,5.548e-06,0.000152,10.801564489704239,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,dppD,b3541,1565.0,2.676,6.392,4.279e-06,0.0001266,10.429887403596744,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,downregulated,pspC,b1306,223.4,-2.561,0.1695,2.819e-06,9.067e-05,10.352935680115644,input
