gene_id,EcMH1_S1,EcMH2_S2,EcMH3_S3,Ectob1_S7,Ectob2_S8,Ectob3_S9,NCMMH1_S73,NCMMH2_S74,NCMMH3_S75,NCMtob1_S76,NCMtob2_S77,NCMtob3_S78
gene-b0041,16.6370400780744,17.1071980866516,21.1294698020951,13.4346584554152,10.7058691046519,16.008137694894,12.2419716324619,14.8695508551252,33.6347359213824,13.2410770739702,30.6756473954972,15.0834849878225
gene-b0042,12.4777800585558,9.21156820050469,16.9035758416761,8.95643897027683,11.7764560151171,13.6069170406599,13.1163981776378,11.3708330068604,26.7099373493331,12.2225326836648,14.9445461670371,1.77452764562617
gene-b0043,31.1944501463895,23.6868896584406,31.6942047031427,19.704165734609,13.9176298360475,12.0061032711705,16.6141043583412,18.3682687033899,14.8388540829628,10.185443903054,19.6638765355751,13.3089573421963
gene-b0044,1.03981500487965,2.63187662871563,4.22589396041903,4.47821948513841,0.0,1.6008137694894,0.874426545175853,0.874679462066187,1.97851387772838,4.07417756122159,3.14622024569202,1.77452764562617
gene-b0045,22.8759301073523,9.21156820050469,7.3953144307333,17.017234043526,7.49410837325632,15.2077308101493,6.12098581623097,4.37339731033094,6.92479857204932,11.2039882933594,11.0117708599221,11.5344296965701
gene-b0046,91.5037204294091,92.1156820050469,103.534402030266,67.1732922770762,64.2352146279113,71.2362127422783,51.5911661653754,59.4782034205007,64.3017010261723,64.1682965892401,49.5529688696493,51.4613017231591
gene-b0047,256.834306205273,271.08329275771,289.473736288703,200.624232934201,243.023228675598,255.329796233559,183.629574486929,216.045827130348,204.776186344887,185.375079035583,214.72953176848,165.031071043234
gene-b0048,650.92419305466,676.392293579916,761.71738636553,625.159440125323,653.058015383765,659.535273029633,1333.50048139318,1414.35669016102,1307.79767317846,1344.47859520313,663.852471841016,1095.77082117416
gene-b0049,593.73436778628,464.526224968308,472.243650076826,582.168533067994,656.269776115161,454.63111053499,537.77232528315,530.930433474176,541.123545558711,587.700113206215,524.632225969144,485.333311078759
gene-b0050,665.481603122975,617.175069433814,568.382737676359,667.254703285624,828.634268700056,469.038434460394,613.847434713449,533.554471860374,576.736795357822,594.829923938353,538.003662013335,571.397901891628
gene-b0051,2131.62076000328,2116.02880948736,1943.91122179275,2298.22223977303,2554.42036836994,1727.27805727906,3006.27846231458,2518.20217128855,2476.11011797706,2363.02298550852,2288.87522874094,2590.81036261422
gene-b0052,1969.40961924206,1959.43215007878,1695.63995161814,1950.71240772629,2458.06754642807,1413.51855845914,1685.89437909905,1504.44867475384,1637.22023382023,1526.79804106779,1559.73868680182,1919.15164874471
gene-b0053,6537.31693567835,6008.57434335777,5093.25869579503,5753.61639450584,6692.2387773179,4728.80387507169,6529.3430128281,6252.20879484911,6514.25694242068,6285.43743257461,6074.56473936986,7097.22331868189
gene-b0054,13480.1617232598,15053.018377939,13019.979292051,12065.2189368599,13704.5830408649,10361.2671230201,12450.0851502138,10470.7878403943,11195.420777126,10890.2766211453,10370.7284848623,12457.1840722957
gene-b0055,372.253771746914,323.720825332022,376.104562477294,532.908118731471,453.92885003724,426.616869568925,654.071055791538,562.418894108558,548.048344130761,533.717260520029,541.149882259027,605.113927158526
gene-b0056,232.918561093041,272.399231072067,212.351171511056,317.0579395478,236.599707212807,315.360312589412,314.793556263307,278.148068937048,246.324977777183,388.065412706357,290.238817665089,431.21021788716
gene-b0057,252.675046185755,259.239847928489,239.81948225378,352.883695428907,214.117382093038,282.543630314879,216.857783203612,219.544544978613,233.464637571949,416.584655634908,280.01360186659,431.21021788716
gene-b0058,285.949126341904,336.8802084756,277.852527897551,248.989003373696,206.623273719781,312.158685050433,611.224155077922,378.736207074659,357.121754929972,710.943984433168,297.317813217896,409.915886139646
gene-b0059,1882.06515883217,1627.81569486061,1469.55462473572,1495.72530803623,1497.7510877408,1834.53257983485,4373.88157896962,2614.41691211583,2386.08773654042,4039.54705195121,1552.65969124901,2806.4154715578
gene-b0060,238.11763611744,193.442932210599,225.028853392313,318.849227341855,304.046682572114,315.360312589412,260.579110462404,260.654479695724,265.120859615603,311.674583433452,431.81872872123,324.73855914959
gene-b0061,27.0351901268709,22.3709513440828,25.3553637625142,15.2259462494706,10.7058691046519,24.8126134270857,7.86983890658268,11.3708330068604,25.7206804104689,9.16689951274859,23.5966518426901,8.87263822813087
gene-b0062,72.7870503415755,43.4259643738078,45.4283600745046,25.9736730138028,27.8352596720949,44.8227855457032,27.9816494456273,42.8592936412432,44.5165622488885,25.463609757635,63.7109599752634,30.166969975645
gene-b0063,36.3935251707877,57.9012858317438,40.1459926239808,18.8085218375813,19.2705643883734,32.016275389788,25.3583698100998,45.4833320274417,39.5702775545676,14.2596214642756,46.4067486239573,21.2943317475141
gene-b0064,184.047255863698,344.775838361747,414.137608121065,180.920067199592,89.9293004790759,240.922472308155,435.464419497575,495.943254991528,405.595344934317,195.560522938636,497.889353880762,243.997551273599
gene-b0065,315.063946478534,359.251159819683,395.121085299179,349.301119840796,309.39961712444,380.193270253733,426.720154045817,363.866656219534,361.078782685429,313.711672214063,397.99686108004,326.513086795216
gene-b0066,172.609290810022,147.385091208075,158.471023515714,137.033516245235,195.91740461513,146.47445990828,350.645044615517,365.616015143666,318.540734314269,307.60040587223,136.860580687603,181.889083676683
gene-b0067,906.718684255054,771.139852213678,816.654007850977,988.790862318562,1036.3281293303,884.449607642894,1803.06753615261,1424.85284370582,1551.15488013905,1483.00063228466,717.33821601778,1220.87502019081
gene-b0068,1696.97808796359,1481.7465419669,1751.63304659369,1842.33949618594,1833.91537762687,1559.19261148268,2694.98261223198,2213.81371848952,2304.96866755356,2577.93585186296,1085.44598476375,1869.46487466718
gene-b4762,31.1944501463895,48.6897176312391,30.637731213038,34.9301119840796,31.0470204034905,41.6211580067244,45.4701803491444,30.6137811723166,39.5702775545676,48.8901307346591,50.3395239310723,48.7995102547198
gene-b0069,424.244521990897,367.14678970583,390.89519133876,440.65679733762,469.987653694218,479.443723962075,475.688040575664,463.580114895079,506.499552698465,571.403402961329,580.477635330177,467.588034622497
gene-b4577,3.11944501463895,0.0,0.0,0.0,0.0,0.0,3.49770618070341,0.874679462066187,0.989256938864189,2.0370887806108,1.57311012284601,1.77452764562617
gene-b4662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-b0070,220.440781034486,152.648844465506,146.849815124561,154.050750288761,152.023341286057,181.692362837047,210.736797387381,208.173711971753,219.61504042785,230.19103220902,206.077426092827,173.016445448552
gene-b0071,193.405590907615,167.124165923442,141.567447674037,203.311164625284,186.282122420943,187.29521103026,69.0796970688924,55.979485572236,58.3661593929871,87.5948175662643,103.038713046414,86.9518546356826
gene-b0072,422.164891981138,407.940877450922,286.304315818389,416.474412117873,449.646502395379,441.824600379075,130.289555231202,117.207047916869,125.635631235752,177.226723913139,187.200104618675,249.321134210478
gene-b0073,203.803740956411,267.135477814636,159.527497005818,248.989003373696,230.176185750016,262.533458196262,90.9403606982888,67.3503185790964,72.2157565370858,115.09551610451,96.7462725550296,134.864101067589
