gene_id,gene,CAZ_2,CAZ_3,CAZ_4,Wu_2,Wu_3,Wu_4
b0440,b0440,6150,7422,4343,5085,4939,5729
b0441,b0441,1941,2150,2428,2854,2891,2320
b0442,b0442,187,153,146,134,119,74
b0443,b0443,310,468,226,138,193,143
b0444,b0444,360,420,408,306,297,254
b0445,b0445,62,77,109,351,290,347
b0446,b0446,349,450,589,433,447,475
b0447,b0447,330,417,403,330,447,439
b0448,b0448,508,537,490,476,596,406
b0449,b0449,500,585,342,384,542,329
b0450,b0450,3,5,3,8,9,5
b0451,b0451,88,97,106,150,134,115
b0452,b0452,654,864,765,445,506,399
b0453,b0453,1314,1693,858,1675,2340,1971
b0454,b0454,245,368,524,624,605,624
b0455,b0455,0,4,1,0,2,0
b0456,b0456,23,32,32,33,55,51
b0457,b0457,302,455,491,575,614,561
b0458,b0458,702,894,750,421,547,282
b0459,b0459,378,532,440,94,101,83
b0460,b0460,559,934,657,159,266,175
b0461,b0461,1065,1809,1624,263,520,460
b0462,b0462,3066,4304,3243,3113,4024,3073
b0463,b0463,1263,1544,1653,638,735,539
b0464,b0464,101,124,133,111,97,93
b0465,b0465,1183,1757,1595,1343,1510,1040
b0466,b0466,88,66,90,79,73,70
b0467,b0467,145,167,229,178,171,162
b0468,b0468,146,181,209,241,228,188
b0469,b0469,465,571,481,252,227,173
b0470,b0470,2420,2922,2933,1854,1928,1339
b0471,b0471,614,750,596,450,527,428
b0472,b0472,938,1129,950,634,715,654
b0473,b0473,2277,2914,5123,3650,4811,4102
b0474,b0474,3224,3523,3504,1167,1224,873
b0475,b0475,244,297,232,412,497,500
b0476,b0476,72,70,101,128,93,129
b0477,b0477,818,1109,805,573,504,354
b0478,b0478,1812,1999,1631,1553,2012,1622
b0479,b0479,250,332,422,285,237,204
b0480,b0480,711,877,1031,1200,1253,1156
b0481,b0481,119,154,190,112,116,95
b0482,b0482,179,259,285,255,250,275
b0483,b0483,127,184,431,427,316,436
b0484,b0484,3619,4274,3423,4306,5489,4294
b0485,b0485,159,242,129,1487,2006,1681
b0486,b0486,435,830,381,6457,9040,7129
b0487,b0487,481,683,674,1522,1947,1572
b0488,b0488,646,786,1024,706,892,734
b0489,b0489,1006,1562,1399,1361,1702,1691
b0490,b0490,87,152,164,116,152,139
b0491,b0491,89,119,153,105,147,122
b0492,b0492,841,1043,1478,1304,1430,1326
b0493,b0493,270,304,378,270,309,278
b0494,b0494,128,161,222,193,177,169
b0495,b0495,394,582,863,280,381,305
b0496,b0496,414,590,688,416,649,405
b0497,b0497,56,73,80,88,144,108
b0498,b0498,5,8,2,3,0,1
b0499,b0499,2,2,0,0,0,0
b0501,b0501,3,2,2,0,2,0
b0502,b0502,41,63,49,32,60,44
b0503,b0503,262,274,335,166,167,117
b0504,b0504,8,11,20,7,9,7
b0505,b0505,22,14,17,25,18,15
b0506,b0506,964,1341,1973,2543,3250,3002
b0507,b0507,32,48,45,91,89,51
b0508,b0508,4,4,1,4,22,7
b0509,b0509,11,11,13,10,16,8
b0511,b0511,10,5,4,2,4,0
b0512,b0512,96,36,18,14,19,23
b0513,b0513,29,39,26,43,40,32
b0514,b0514,48,39,37,30,57,37
b0515,b0515,44,36,51,29,29,32
b0516,b0516,35,29,53,18,21,28
b0517,b0517,33,10,17,11,8,11
b0518,b0518,6,7,5,11,10,8
b0520,b0520,6,5,9,12,20,12
b0521,b0521,22,31,9,29,24,32
b0522,b0522,345,448,391,269,291,262
b0523,b0523,247,284,224,73,83,58
b0524,b0524,233,264,210,112,129,110
b0525,b0525,1590,2356,1902,1156,1254,1112
b0526,b0526,995,1109,1079,583,503,418
b0527,b0527,28,29,45,22,21,14
b0528,b0528,73,85,99,46,71,45
b0529,b0529,1975,2495,2651,1148,1178,1088
b0530,b0530,5,6,6,5,15,14
b0531,b0531,0,0,0,0,0,0
b0532,b0532,16,5,30,6,11,9
b0533,b0533,0,0,3,0,1,0
b0534,b0534,6,1,7,3,5,1
b0535,b0535,1,3,4,3,1,3
b0536,b0536,16,26,19,6,5,1
b0537,b0537,285,299,463,182,178,162
b0539,b0539,5,4,6,2,2,1
b0540,b0540,0,0,0,0,0,0
b0541,b0541,0,0,0,0,0,0
b0542,b0542,1,3,5,6,1,3
b0543,b0543,35,45,69,26,28,36
b0544,b0544,9,3,4,3,4,2
b0545,b0545,60,75,110,114,139,106
b0546,b0546,98,144,190,98,145,140
b0547,b0547,0,2,0,0,1,0
b0548,b0548,0,0,0,0,0,0
b0549,b0549,0,0,0,0,1,0
b0550,b0550,0,1,0,0,0,0
b0551,b0551,3,6,17,3,0,9
b0552,b0552,0,0,0,0,0,0
b0553,b0553,161,222,75,871,1139,1214
b0554,b0554,0,1,2,3,0,0
b0555,b0555,4,5,6,7,1,2
b0556,b0556,0,0,0,0,0,0
b0557,b0557,14,20,16,5,16,2
b0558,b0558,0,4,2,0,0,0
b0559,b0559,6,3,6,3,8,3
b0560,b0560,0,0,0,0,0,0
b0561,b0561,1,1,1,1,2,1
b0562,b0562,18,18,24,13,4,8
b0563,b0563,2,3,7,6,6,5
b0564,b0564,28,61,83,43,35,38
b0565,b0565,174,145,74,118,156,127
b0566,b0566,6,22,27,9,13,22
b0567,b0567,36,52,49,77,73,62
b0568,b0568,285,379,369,403,462,445
b0569,b0569,206,258,282,167,217,163
b0570,b0570,126,164,185,121,123,69
b0571,b0571,206,239,267,155,163,109
b0572,b0572,1,7,6,5,6,1
b0573,b0573,1,0,0,2,1,3
b0574,b0574,3,8,5,9,3,6
b0575,b0575,22,65,67,66,65,62
b0576,b0576,193,225,251,158,148,149
b0577,b0577,387,433,449,267,279,255
b0578,b0578,716,738,713,453,444,433
b0579,b0579,73,124,151,113,114,128
b0580,b0580,100,113,91,75,126,108
b0581,b0581,613,1111,771,1670,2154,1854
b0582,b0582,0,0,0,0,0,0
b0583,b0583,43,50,23,3,22,8
b0584,b0584,429,463,254,202,161,110
b0585,b0585,33,33,25,66,34,34
b0586,b0586,482,671,198,650,413,314
b0587,b0587,2,2,2,1,0,0
b0588,b0588,60,107,55,44,38,37
b0589,b0589,69,105,54,58,35,42
b0590,b0590,76,108,97,110,88,92
b0591,b0591,187,202,124,157,101,96
b0592,b0592,110,117,114,128,83,91
b0593,b0593,286,429,131,94,67,64
b0594,b0594,525,655,136,176,129,88
b0595,b0595,558,596,113,238,108,143
b0596,b0596,487,527,112,188,122,90
b0597,b0597,281,285,91,115,73,76
b0598,b0598,5407,7152,2424,8430,10578,7938
b0599,b0599,173,207,339,518,375,598
b0600,b0600,150,303,333,1189,599,1251
b0601,b0601,18,29,23,15,17,8
b0602,b0602,3,16,13,5,6,10
b0603,b0603,9,8,1,2,4,4
b0604,b0604,135,175,167,141,165,132
b0605,b0605,5961,8330,6962,24788,26915,28044
b0606,b0606,922,1285,1388,4470,4815,4676
b0607,b0607,3516,5129,6028,2183,2584,3285
b0608,b0608,402,589,438,341,543,353
b0610,b0610,630,899,829,467,434,378
b0611,b0611,439,635,755,616,704,703
b0612,b0612,15,14,24,14,27,16
b0613,b0613,3,1,2,1,3,0
b0614,b0614,6,0,1,1,0,7
b0615,b0615,10,8,4,4,8,5
b0616,b0616,9,3,0,0,0,0
b0617,b0617,0,0,0,0,0,0
b0618,b0618,3,2,2,0,0,0
b0619,b0619,102,125,170,97,101,83
b0620,b0620,24,31,25,26,21,12
b0621,b0621,247,266,691,628,252,429
b0622,b0622,67,111,171,526,623,468
b0623,b0623,14064,17091,13602,15076,21957,17490
b0624,b0624,52,78,111,129,156,144
b0627,b0627,1074,1389,1196,761,1022,848
b0628,b0628,5748,6370,6732,1605,1430,1326
b0629,b0629,12,15,13,1,6,5
b0630,b0630,195,283,303,190,183,142
b0631,b0631,664,1051,2211,1525,2289,2024
b0632,b0632,1772,2316,1919,618,722,495
b0633,b0633,684,865,892,696,697,621
b0634,b0634,278,320,256,286,310,261
b0635,b0635,542,657,689,313,371,292
b0636,b0636,274,336,274,164,139,104
b0637,b0637,566,713,594,314,271,240
b0638,b0638,60,60,67,34,54,42
b0639,b0639,136,147,155,121,153,114
b0640,b0640,355,428,326,376,405,305
b0641,b0641,510,657,477,745,845,662
b0642,b0642,4030,5187,4633,5198,5750,4909
b0643,b0643,2518,3251,2257,3769,4431,4025
b0644,b0644,26,24,27,19,40,36
b0645,b0645,1,0,0,0,1,0
b0646,b0646,2,4,2,1,1,0
b0647,b0647,2,0,1,0,1,0
b0648,b0648,2,2,4,2,6,0
b0649,b0649,44,42,76,29,35,32
b0650,b0650,57,61,53,27,24,28
b0651,b0651,914,908,882,1043,792,926
b0652,b0652,773,743,278,259,324,265
b0653,b0653,434,419,167,146,232,171
b0654,b0654,507,611,327,196,314,204
b0655,b0655,5180,5683,3435,2411,2849,2412
b0656,b0656,0,0,0,6,4,3
b0657,b0657,627,807,726,1033,1327,813
b0658,b0658,1778,2457,2345,3251,3870,3347
b0659,b0659,440,660,722,902,1161,959
b0660,b0660,1308,1948,2456,2227,2784,2450
b0661,b0661,1799,2462,2275,1314,1188,1059
b0662,b0662,906,1121,1072,1292,1591,1475
b0664,b0664,0,0,1,0,0,0
b0665,b0665,2,1,1,0,2,0
b0666,b0666,0,0,0,0,0,0
b0668,b0668,0,0,0,0,0,0
b0670,b0670,0,0,0,0,0,0
b0672,b0672,0,0,0,0,0,0
b0673,b0673,28,6,17,4,0,3
b0674,b0674,1862,1133,943,619,597,557
b0675,b0675,645,705,866,656,562,446
b0676,b0676,859,947,1213,963,1043,873
b0677,b0677,245,346,396,458,568,572
b0678,b0678,377,478,365,534,635,701
b0679,b0679,1166,1577,1365,2131,2138,2109
b0680,b0680,1824,2000,2109,1402,1317,1253
b0681,b0681,22,25,30,13,24,22
b0682,b0682,40,44,92,23,38,39
b0683,b0683,2041,2225,2292,1128,1150,1076
b0684,b0684,1595,1828,2026,798,676,618
b0685,b0685,192,277,208,67,69,31
b0686,b0686,323,452,385,272,307,270
b0687,b0687,839,948,957,740,723,585
b0688,b0688,2804,3493,2754,2818,2664,2422
b0689,b0689,12,17,24,4,7,7
b0691,b0691,2,7,7,0,0,2
b0692,b0692,35,63,62,65,81,69
b0693,b0693,18,19,37,12,20,16
b0694,b0694,53,56,41,136,179,156
b0695,b0695,346,486,377,700,961,745
b0696,b0696,36,46,41,38,58,43
b0697,b0697,51,37,50,103,113,89
b0698,b0698,9,6,10,29,60,28
b0699,b0699,632,1192,1927,2339,3977,4120
b0700,b0700,24,28,70,37,31,29
b0702,b0702,0,5,14,1,3,1
b0703,b0703,4,6,19,3,1,1
b0704,b0704,11,10,26,5,7,6
b0705,b0705,0,0,0,0,0,0
b0706,b0706,0,0,1,0,1,0
b0707,b0707,203,322,137,304,422,229
b0708,b0708,562,855,626,663,1086,589
b0709,b0709,46,54,58,38,63,31
b0710,b0710,402,452,528,883,1106,1021
b0711,b0711,292,473,468,1105,1281,1111
b0712,b0712,508,751,692,1518,1742,1523
b0713,b0713,294,381,435,708,812,635
b0714,b0714,100,142,122,168,218,131
b0715,b0715,91,118,118,56,57,81
b0716,b0716,7,4,11,2,1,1
b0717,b0717,6,8,6,5,1,9
b0718,b0718,12,12,17,2,4,8
b0719,b0719,2,5,3,3,1,4
b0720,b0720,16121,15775,5189,3996,4587,4142
b0721,b0721,2957,2894,1099,227,326,170
